content,sentiment_value
"Romero is fucking dreadful like seriously my 11 month old is better than him.",0.583
"\xe2\x80\x9cMy friend do you fly away now? To a world that abhors you and I? All that awaits you is a somber morrow No matter where the winds may blow\xe2\x80\x9d",0.544
"@tysonwaters and @WatersWife 'Being over it.' Why USA has #panicattacks #anxiety #depression and so much medication!",0.708
"\xf0\x9f\x8d\x82\xf0\x9f\x8e\xb5\xe2\x98\x80\\n#fall sounds great !\\ndream #blues #rock by @RaphaelSlagg.\\nGet the top album  'One Love'  by hero @BlindFret. :D",0.104
"Im kind of confused.  The one thing i do right now has a great future, but on the other hand so does the new thing . #lost #needhelp",0.604
"How could such a crooked,stuck up,delusional,dim&amp; #dark hearted dud be surprised losing&amp;prob also ppl won't let their crimes drop! #nwo imo",0.541
"Somehow 90% of the sausage in this pasta I made sunk to the bottom so I'm eating sausage with a tiny bit of leftover pasta",0.333
"@Nataliem55 sadly, war has often been the factor that jump starts US economic growth",0.479
"Thanks to all the #sober drivers. The real winners of the night! #ClemvsGT",0.188
"Interesting topic this evening...  sadness &amp; low mood. #MHChat",0.708
"@MHChat if we don't understand how to express our emotions to others, may lead to sadness / loneliness &amp; neg impact on long term mh #MHChat",0.562
"A3: But chronic sadness may mean there are underlying issues than getting sad occassionally over a particular issue (2/2) #mhchat",0.562
".@WotzupCapeTown - thanks for sharing! Surprise guests! @HumanJurgen &amp; visiting US Tenor Sax @CunninghamColin. #livemusic #capetown #blues",0.267
"@LdhranOusby @RobHarris inclined to think that 'documentary' did him more harm than good. If not I despair of people's critical faculties.",0.562
"You don't know how to love me when you're sober #sober #selenagomez #revival",0.458
"One step forward, two steps backward, the link to RogerFedererShop doesn\xc2\xb4t work.\xf0\x9f\x98\xb0 I am losing hope about Roger Federer new Website #sadness",0.583
"Fun tidbit: You can fall asleep on someone while dancing. #blues #latenight",0.083
"#RiceFODays now I am Alex Butler's class on financial management. Starts off with a great, relevant class discussion: movies and sunk costs",0.229
"i cant stop. i finished - dejected. luckily no one is in the bathroom. so i go to a stall and wait until my pants are dry.",0.625
"@MendipHillsAONB do we think the swallows and swifts have gone? Photo'd 3 nights ago, not seen since.  #Autumn",0.354
"@nickb88 @Buster_ESPN pine rider",0.295
"Please bear with me, I'm not Twitter savvy\xf0\x9f\x98\x9d in real life I'm a Facebook person. Help me gain followers \xf0\x9f\xa4\x93 #blog #selfhelp ",0.146
"@VaunWilmott @PrisonBreak @PBWritersRoom linc the sink",0.208
"Honestly don't know why I'm so unhappy most of the time. I just want it all to stop :(   #itnevergoes",0.949
"nooooo. Poor Blue Bell! not again. #sad",0.792
"The @Orioles are in contention and hosting @RedSox nation and Camden is empty #sad",0.658
"I was not made for this world. #empath #unhappy",0.75
"Im kind of confused.  The one thing i do right now has a great future, but on the other hand so does the new thing .  #needhelp",0.521
"When health insurance won't cover TMS but they let me know they cover ECT #mentalhealth #psychology  #TMS #ECT",0.521
"@Micky_A_Lawson Paddy McNair is our joint top scorer......yeah.....justlet that sink in haha",0.208
"@VosachResrus ^'ll just #wobble carry you #sink",0.396
"What a sad evening - clearing out all of Harvey's cage and belongings. Now so final. Goodbye my little man.... #depressing",0.854
"\xe2\x80\x9cThe immense importance of football is sometimes scary. When you don\xe2\x80\x99t win you are responsible for so many unhappy people.\xe2\x80\x9d - Arsene Wenger",0.396
"Right i may be an #sufc fan and the football maybe shit but marcos rojo for #mufc has had a shocking start he's just dreadful",0.583
"@CrystiCaro yeah agree - I think it was a family member and they covered up ",0.408
"@rupindxr my heart actually sunk looooool I was so confused",0.625
"Very depressing seeing my whole fam packing to go on holiday tomorrow and I'm just staying here \xf0\x9f\x99\x83",0.688
"@pottermore : I can't find my patronus, the website doesn't work, I can't even see the questions.... #sadness...",0.729
"Hey man are you asian?!' Nah man im hispan...'nah you just high as hell.' Some random crackhead in the wal-mart parking lot...cmon #sober",0.238
"@JlKelly1 @FJ_Berry I've got #teampaella presents on their way for you and Fi but I don't think they'll arrive by Saturday sadly!! ;)",0.583
"@abra @abra @abra what're you doing to my ears? To my soul?! #GoodMusic #melancholy",0.236
"@Vixen85Webster yep &amp; I stayed in pjs all day too lol x",0.312
"@simslover163 I guess it must be really expensive... For me it's that the whole family stayed in Poland, so I really miss them...",0.542
"Have any of you ever stayed in hostels overseas? My only frame of reference is the movie Hostel, and we all know how that went.",0.229
"Write drunk. Edit Sober. \\nForget to save. Wake hungover.\\n#amwriting #sober",0.312
"@MCFCDenver doing the exact same minus the beer sadly",0.604
"When tears r inappropriate: 'This day is holy to our Lord. Do not grieve, for the joy of the LORD is your strength.' Nehemiah 8:10 NIV #joy",0.311
"@LacesUntied_ yea lol catchy you fret",0.358
"Rooney = whipping boy. #mufc ",0.354
"#2 complained then while his head and then called do not despair of God's mercy if you did sins go back to him and ask his forgiveness",0.467
"_Her mind is a #dark room,\\nDeveloping #Madness  \xe2\x99\xa8\xf0\x9f\x98\x98",0.562
"Band members wanted. Contact me #NewcastleGateshead #Sunderland #musicians #musicbusiness #musicislife #music #musically #band #blues #folk",0.299
"Overwhelming sadness.  This too shall pass.  #lonley #startingover",0.917
"@iJuvia_ \\n\\nHearing the noises, Akame opened her eyes and sat up, facing Juvia. She didn't expect at all to see someone around and staid --",0.266
"Never let the sadness of your past ruin your future",0.292
"-- used as a pawn in this red woman's game] For now, try not to fret and act as if nothing is amiss. This is a royal -- @TheLadyOfGlenco",0.354
"(whisper) I cannot frown.",0.271
"@BTS_twt people have so much negativity filled inside them but im always happy that in such a gloomy world someone like u exists Namjoon",0.45
"Go away please ... I'm begging \xc2\xbb\xc2\xbb\xc2\xbb #depression #anxiety #worry #fear #sadness \\nDreams of joy and my baby to be found...Sits on #AndisBench",0.896
"Do not be discouraged by a slowing sales market. This will test your business model and pinpoint #strengths and #weaknesses.' @Ken_Dunn",0.271
"The difference between someone's selfies when they're happy vs. unhappy is absolutely amazing.",0.208
"Living with #depression doesn't mean you must be defeated by it\\nevery day's a new day and yesterday doesn't decide what today looks like :-)",0.438
"Even a pencil\xe2\x9c\x8f never #stayed  with me until it's #end \xe2\x9a\xab \xf0\x9f\x98\x9e",0.667
"Too many are on their 'yeah, the thing going on with cops shooting innocent people is sad - but just not in my backyard, so..' #sad #blm",0.724
"So blend the waters lie\\nThere shrines and free-  The melancholy waters lie\\nNo rays from out the dull tide-  As if the vine",0.438
"@kikibug13 Don't look. You'll only be very, very unhappy. \\n\\n(NNGH. I got the email notif THANK YOU.)",0.438
"@AshleyCWilson @MrDavidHobbs @IndyCaronNBCSN Glad the TV coverage was so successful because the attendance looked pretty dismal.",0.438
"ok yes I get it as much as the next guy -- bikes blues &amp; bbq is frustrating &amp; loud!!! but these ppl are traveling from all over to come --",0.25
"All work and no play makes Jack a dull boy",0.5
"and again dirty and  self loathing attitude  mope talking",0.792
"Today you visited me in my dreams and even though you aren't physically gone I still mourn you",0.771
"Trying to take what's lost and broken and make it right",0.542
"@MHChat #mhchat Childhood experiences inform adult relationships. We have associative memories Not a question of ability to process #sadness",0.625
"@beIIrkes Es, I'm serious 23/8",0.271
"@jodikantor @nytimes only if YOU will pay for them and YOU will be responsible for them and their doings. #sober #real #blind",0.369
"I am going to make it my life's mission to discourage anyone from using @CapitalOne. They will rob you blind",0.646
"@nytimes media celebrated Don King endorsing #Obama in 08 and 12 now criticize him for endorsing #Trump who wants new Civil Rights era- sad",0.562
"5am blues while riding a cab home:\\n- my belly is much bigger than the rest of my body\\n- but i couldnt be preggy\\n- how to lose it in a day",0.542
"TONIGHT - Fulford Arms, York \\nTOMORROW - Bank Top Tavern, Oldham\\nNEXT SATURDAY- Big Hands, Manchester \\n\\n#livemusic #punk #blues #rockandroll",0.188
"Do not grow weary of doing good' a lasting legacy @billclinton @ClintonGlobal #CGI2016 #thankfulmoment @ProjectThankful",0.343
"@tgshepherdvan I'm not there yet. Hasn't sunk in yet. Rest up.",0.604
"there are #serious #chinks in #India\xe2\x80\x99s #armour'\\n#protein\\n#malnutrition\\n#feedingIndia\\n#skillingIndia\\n#cognitive #deficit\\n@Abhijit_Iyer",0.354
"@GrimsToyShow @hunna_chunna you got hacked on your gaming channel grim by evil wood clowns yesterday September 20 and September 21 today",0.396
"@DxfyingGrxvity - that were rather forlorn, scanning the witches house before resting back on Elphie. 'The Grimmerie is gone.'",0.458
"If you love something, let it go. If it comes back, it is yours. If it doesn't, it never will. #sadness #accepting",0.771
"Need advice on how to get out of this rut!!!!  #needmotivation",0.729
"@HartRamsey #UPLIFT If you're still discouraged it means UR Listening to the wrong voices &amp; looking to the wrong source. Look to the LORD!",0.25
"@ImNotInfected \xe2\x80\x94 rather someone that could help her. Concern clouded her green eyes, not once having seen a girl alone in the woods and \xe2\x80\x94",0.438
"@strong_bread dude we same fukc i lost my spectacles this morning.......",0.458
"Kinda wanna just book a vacation and go...anyone wanna tag along? #adventure #serious",0.312
"Seeing something that hurt so much in the past in front of me now and not a single sign of grieve. Magicalllll.  \xe2\x9c\xa8",0.396
"so fucking sad when the person you love doesn't try fighting for your happiness, when you'd do anything for them.",0.771
"The new lock sound is grim",0.562
"@TalesofanAlfa @David_Milloy \\nI like your thinking...but sadly no - that's the shed \xf0\x9f\x98\xa2",0.604
"Candace &amp; her pout are getting right on my tits #GBBO",0.417
"We can't even grieve over one black body before another one pops up due to pig brutality",0.892
"So when I try I fail... and when I don't try... I still fail... #confused and #lost",0.917
"@theJeremyVine Noel Edmonds reckons a cat he's talking to is stressed because of the uncertainty over #GBBO future!?!? #plot #lost",0.521
"Dropped my phone in the sink earlier.No sound, but everythin else works.Prepared myself for life without music until I put my earphones in",0.458
"@StaceyDavidson_ You're a thief and a liberal mope, investigated by the financial services board for theft of govt retirement funds. THIEF",0.667
"We're in contained depression. Only new economic engine is #Sustainability, say Joel @makower + @markmykleby @ #VERGEcon. #NewGrandStrategy",0.542
"Awake at 5.30am with a seriously bad throat \xf0\x9f\x98\xa9\xf0\x9f\x98\xa9\xf0\x9f\x98\xa9\xf0\x9f\x98\xa9\xf0\x9f\x98\xb7\xf0\x9f\xa4\x92 glands feel huuuuuuuge and I'm in uni soon! #grim",0.708
"Season 3 and Charlie is still a prick! #lost",0.375
"I'd rather die alone then end up with somebody who can't be sober",0.66
"@MarGraham I am practically obsessed with it, the very thought of their departure makes me feel both melancholic and grateful.  Safe journey",0.375
"Go follow 'juspopmolly' on snapchat that hoe sitting on the sink right now @Cocaineandtacos",0.396
"My 2 teens sons just left in the car to get haircuts. I'm praying up a storm that they make it home safely!! #sad #TerenceCrutcher",0.667
"Always borrow money from a pessimist; he doesn't expect to be paid back.",0.4
"@othrcarl @IX_SW @purenift I'm sadly not, I'm just being smutty",0.583
"@TDYLN sadly not :(",0.667
"How do you help someone with #depression who doesn't believe they have it and doesn't trust therapists?",0.604
"9/30 Howland Cultural Center, #BeaconNy Vickie Raabin &amp; Chris Raabe #blues #soul 8pm  @LocalMotionWVKR @hiddencitiesnyc 845-831-4988",0.25
"@Barcabhoy1 Of course not. Didn't sink his studs into a knee like Forrester",0.396
"Transparency and openness ' is a dull sell for a fans group - want more verbs like buying, defending, building and securing.",0.333
"were sat in my sat room cloved watchin Manchester Unide @ManUtd v Norffampton do you fink but @WayneRooney is still goal fret at iced level",0.375
"Seeing an old coworker and his wife mourn the loss of their 23 year old daughter was one of the saddest things I've ever seen \xf0\x9f\x98\xa2",0.833
"gloomy weather puts me in the best mood",0.271
"me: tis a dreary day today\\nfriend: he's a teenager not Shakespeare's reincarnation \\n\\nim such a dumbass lol",0.458
"@localblactivist I'm always a little bit weary of speaking up because 1. I don't want to hijack the convo - as an LGBT person, I've seen",0.438
"Baaarissshhhhh + sad song =  prefect night \xe2\x80\x94 feeling alone",0.729
"tones - \\n: 1/2 of my favourite chris pine stans. i love tones more than anything, mt sweet summer child i will attack anyone who hurts her",0.271
"gotta say this n put it out there. whoever u r, u should support other people's decisions n not discourage them...",0.354
"This is the @Fender #blues #junior. I'm looking forward to play on it as soon as possible. #guitar #guitarrist #music",0.167
"Learning how to use twitter #lost",0.354
"@MHChat sadness with resentment is the past, sadness with fear is the future. try to live in the now #MHchat",0.492
"#Jazz - the #blues is the roots, the rest is the fruits",0.25
"Actually I always idealize the end of my relationships .. Such a pessimist",0.646
"Getting so excited for @ClearwaterJazz 2016!! We play the main stage Sunday Oct. 16 at 3:30!! #jazzholiday #riesbrothers #rock #blues #jam",0.125
"Damn gud #premiere #LethalWeapon...#funny and ",0.229
"@KristenWACamera I really enjoyed both episodes. I had a bit of a gloomy day today but I feel a sense of inspiration from listening.",0.479
"That's how you start a season that's how you open the show #show #them #how #dark #hell #can #get #Empire",0.208
"This room is rather dreary, but we endure what we must.",0.708
"@ashleighjessica @zacflint1 I'd give that pout the firm D",0.508
"So drunk me hid my keys very well sober me couldn't find it anywhere",0.25
"Had to give my 11yo AfAm son this advice today: 'be polite, no sudden movements, keep hands where they can see them'. #sadness",0.667
"i am about to find the sadness in graham's lyrics",0.542
"Not a great start but good comeback from the boys to earn a point. Bring on Saturday #blues",0.354
"its a gloomy day, im cuddled in my bed watching brendon covering songs and i couldnt be more relaxed or happy \xf0\x9f\x98\x8b",0.24
"come to the funeral tomorrow at 12 to mourn the death of my gpa",0.833
"When we are weak &amp; in despair, our Mighty God is near;He will give us strength &amp; joy &amp; hope, &amp; calm our inner fear, just have faith &amp; trust.",0.417
"@xaninaany I'm so serious DM me I'll tell u more",0.396
"Henderson showing that when times are hard he leaves or goes missing #AFLCatsSwans #seenitbefore #lions #blues",0.396
"TGIF! Hope everyone that needs to find #recovery can and that our friends stay #sober this weekend! @REBOSTreatment @BlvdCenters",0.271
"I wonder what would happen if I were a father. #weary",0.625
"What's a Kali's kitten? [She asked, a frown curling on her fair skinned forehead as he showed her the scar] A cat did - (@ScarredTiger)",0.417
"@LucidBurrito Doesnt do it to anyone else, he literally pulled me into the office cause someone complained I spit in the sink yesterday",0.457
"@sundersays made me laugh, that quote. In a sort of rueful way.",0.375
"@realDonaldTrump negative campaign of doom and gloom don't win elections",0.521
"@knology has providing customers w/equipment that doesn't deliver speeds of internet services that they have been charging.  #scam",0.625
"@RealTimBooth I've never been fond of having dark eyes until seeing this share.",0.375
"Dylon felt dejected. He has a dejected aunt!",0.562
"I don't know why everyone is pretending to be sad about angelina and brad, everyone knows his dumb ass should've stayed with jennifer.",0.354
"I'd rather laugh with the rarest genius, in beautiful alliance with his own being, where he kept his sadness. #melancholy",0.688
"@BlurtAlerts 'the darkest of nights can be bright, the solemn of faces lights up with a smile'. -@Totemprince believe in me, as I do in you",0.229
"Bro Why pine green forget me nots are mediumpurple pickering is not lit and so on",0.333
"Love is when all your happiness and all your sadness and all your feelings are dependent on another person.",0.333
"Heart heavy for lost furry family members. Remembering Max and Ozzie. Forever friends as \xf0\x9f\x90\xb6\xf0\x9f\x98\x87",0.75
"Dreams dashed and divided like million stars in the night sky.",0.688
"@OniLink86 @DarekMeridian lmao awe... ",0.292
"someone explain female human beings to me, they're depressing me ._.",0.812
"@RossKemp great programme tonight #sad #upsetting #extremeworld",0.646
"@jeremycorbyn @magstogether my god is @jeremycorbyn a full shilling? Seriously you need a major rethink or no lab gove in your lifetime ",0.417
"I need all your attention! If I don't I'll pout..",0.417
"Migraine hangover all day. Stood up to do dishes and now I'm exhausted again. GAD, depression &amp; chronic pain #anxiety  #pain",0.812
"When you saw a t-shirt with the phrase 'My mind is a dangerous place to be' and you would like to buy, but in Italy don't sell it. #sadness",0.542
"Although this is my best semester so far, this is also my most depressing because I'm constantly reminded that I'm not meant for greatness",0.729
"so gutted i dropped one of my earrings down the sink at school",0.667
"Remember your journey is unique! Don't get discouraged because you're comparing your journey to someone else's. You will get there!",0.25
"@TootingCommon stop!!! Don't make me laugh when I'm being sad.",0.708
"Feeling worthless as always #depression",0.958
"Listening to @wdwradio at work is my slice of sunshine in this dreary cube world #9to5life",0.479
"Love all the ex United managers on Twitter who form our fanbase. Honestly I despair at times. Just back the fucking team eh #MUFC",0.667
"Brb going to sulk in bed until Friday",0.646
"It's always depressing to sort WordPress plugin recommendations not by 'best' but by 'least offensive in terms of premium features.'",0.562
"@GOP she's ahead in the polls &amp; after Trumps dismal performance at upcoming debate, it will be an easy win for Hillary.",0.174
"it's pretty depressing when u hit pan on ur favourite highlighter",0.646
"@5SOS I swear I will not go mourn because\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x92\x94\xf0\x9f\x92\x94",0.667
"@JensenAckles @jarpad whatever Sam is holding on your tee looks like it's got a droop on \xf0\x9f\x98\x82",0.25
"@hamzakhawaja99 just die depression.",0.729
"@MHChat I think sadness is felt very strongly physically and mentally.  It feels like it takes over and it's hard to focus at work #MHChat",0.667
"@FlakeJay ring ring! #depression is here",0.833
"Having holiday blues! #WantToGoBackToMinehead.",0.661
"I lost my wallet, then found it, then lost it again AND THEN FOUND IT!!!!! \\nCollege is brazy",0.125
"It's my last week at CN! I'm gonna be sad to leave, but this will also be my first planned break since going into animation!",0.438
"@jeremycorbyn @magstogether my god is @jeremycorbyn a full shilling? Seriously you need a major rethink or no lab gove in your lifetime #sad",0.75
"It's now September and we're still battling a situation that was said to be handled March of this year. @ATT this is unacceptable #unhappy",0.833
"@susanbrodigan @lyricconcert Ha yes- the look of despair!",0.479
"Ill say it again. If I was a Black man Id be afraid to leave my house or have a moving violation.\\n\\n#TerranceCrutcher #truth #sad",0.729
"I feel like a burden every day that I waste but I don't know how to get out of this bc I get so discouraged all I wanna do is lay around \xf0\x9f\x99\x83",0.896
"I'd pay good money to watch someone slap that pout off Candice.",0.417
"ACT 4 #anxiety &amp; #depression group. @livingwellihc beginning Mon October 17 for 6 weeks. Contact me to register now! #mindfulness #Halifax",0.562
"Listening to old school house music kentphonic-sunday showers 'hanging around' 'sing it back' #blues",0.375
"@Cigna bows out for the moment. Rather than sulk, I'm going to @UCSF for an opinion from the guys studying #Oligodendroglioma. \xe2\x9c\x8c\xef\xb8\x8f&amp; \xe2\x9d\xa4\xef\xb8\x8f &amp; \xf0\x9f\x8d\xa9's",0.312
"@deshbhakthoon always unhappy and easily offended.",0.604
"When mine pass, I know I'll be inconsolable &amp; devastated. For a while.",0.862
"@Beakmoo hmmmm...you may have a point... I thought Twitter had got dull \xf0\x9f\x98\x82. LAMINATION",0.542
"I'll just have to #eat my way to #sobriety. This'll be a hell of a journey back to #sober",0.625
"Depression sucks! #depression",0.958
"I don't care what shape the blues are in. \\nWe owe them a fucking hiding. \\nLong overdue on that front.",0.354
"@thetroche94 @ramiro_cedeno yeah if you want to become obese it is! \xf0\x9f\x98\x85 I can afford it so I don't think it's that serious haha",0.208
"@Adrian_Specs Far from safe and staid I found it horribly OTT at times while everyone seemed to be trying just a little too hard. Not for me",0.479
"@Batman_ofgotham Her golden brown hues met with those baby blues as her arms crossed over the breasts he had been gulking at. 'Let me guess-",0.208
"some people leave toilets in fucking grim states",0.42
"I don't want perfect. It's too boring and dull.",0.36
"@wombletheballer well done bro\xf0\x9f\x98\x8f #blues #stategames #captain #shootthegerman",0.229
"Today: Kudos to Jaime Garcia on a fine outing.     #encouraging. Last Week: Judo to Jaime Garcia for a dismal outing. #discouraging",0.542
"6 might be a serious number, but 10 sounds better. Wild card race!!",0.208
"Amateurs sit and wait for inspiration, the rest of us just get up and go to work.' -- Stephen King #authors #serious #writingtip",0.271
"@pete_ferriday Aww rest your weary head here",0.396
"The @Orioles are in contention and hosting @RedSox nation and Camden is empty ",0.375
"My life went from happy to unhappy..",0.812
"Hello my dear friends, I will be back online this Friday night. I miss you! #sober #sobriety #recovery",0.417
"That's me for the evening, though! Way too lit to finish these off properly without causing some serious mischief.",0.396
"@WestHamUtd poor service tonight to find season ticket holders in the seats we purchased online. Forced to move further away #unhappy",0.667
"@metalAndTheGeek @astoldbyfANGIRL SAME! I always say it was the best time of my life. I closed my store down and it was so depressing",0.729
"How many tweets is that now? How fast was I going? God, I love being #sober and #intelligent.",0.312
"@stevierayrob Can Elliot Friedman please stop talking, you are clueless. You haven't seen the ball since the kickoff. #mope",0.606
"Sister: (Canadian player does something shady.) Jonathan Toews is frowning and he doesn't know why. #WorldCupOfHockey",0.404
"It is a solemn thing, and no small scandal in the Kingdom, to see God\xe2\x80\x99s children starving while seated at the Father\xe2\x80\x99s table. -AW Tozer",0.375
"Remembering those day when u still did'nt know kpop n thinking about how sad your life was without it - Kpop fan",0.521
"@SalterUK second pair of scales I have bought that have stopped working after battery change. Is this an issue you are aware of?  #unhappy",0.604
"@BoardEveryday @turnorder @pinchback21 80s new wave/techno - or jazz / blues depending my mood",0.271
"@OniLink86 @DarekMeridian lmao awe...  #sad",0.521
"Not written for African-American\\n\\nNo refuge could save the hireling and slave\\nFrom the terror of flight or the gloom of the grave,",0.583
"Come here, let me do whatever I do with it. #dismal",0.583
"I have serious problems with the expectation that private philanthropy should replace functional government services...this is dangerous",0.396
"@SilkInSide @TommyJoeRatliff that's so pretty! I love the sky in the background and the purple highlights with the dull colors is great",0.088
"@lefluerr Lol yeah I read that but I stayed up and didn't nap tillI collect 3 people who I think they've got me \xf0\x9f\x98\x82\xf0\x9f\x98\x82!!",0.396
"Now I'm going to sulk again for a week until #OurGirl is back on! @michkeegan and @benaldridge07 are the best! @OurGirlWatch",0.438
"@Meruna_  as a musician, I can tell you that more people get discouraged when learning because of shitty instruments than anything else.",0.675
"I saw someone discourage someone from following their dreams. Just because you want to live in mediocrity doesn't mean someone else should.",0.479
"Trying to think positive, and not let this situation discourage me \xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8",0.44
"No one wants to win the wild card because you have to play the Cubs on the road.  #sadness",0.767
"\xe2\x99\xaaOLD FISH  #discourage",0.656
"The new @chaseandstatus song is mega \xf0\x9f\x92\xa5 reminds me of @SundownUK #blues",0.146
"I came to work for no reason \xf0\x9f\x98\xa9\xf0\x9f\x94\xab\\nI could've stayed in bed",0.833
"@BlackToLive Good - cuz that's what Trump is: a fucken 'N'azi. Don King-u havnt sunk this low since u set up Mike Tyson. 2 pathetic Dons.",0.479
"Their engine runs on fuel called whining :-)\\n\\nU jst  hv 2b observant..\\nHar din Rona dhona &amp; complain. \\nHappy news makes them unhappy :-)",0.479
"When you lose somebody close to your heart you lose yourself as well \xf0\x9f\x92\x94 ",0.708
"#savemoney and #savelifes @ your #openbar @your #weddingreception. Close it 1-2 hours early, forcing your guests to sober up before driving.",0.333
"Gonna be a loooooong year as a Browns fan. Longer than normal and that's ",0.375
"Eating an egg is grim, you are eating the material embodiment of a fart and an unborn chick",0.563
"The snaps/Insta pics I see of the friends I made while in Cali are so unbelievably depressing cause there's no place I'd rather be but there",0.729
"Panic attacks are the worst. Feeling really sick and still shaking. I should be a sleep. #anxiety #depression",0.917
"Buddha doesn't possess enough power to deliver you from your affliction!",0.542
"My friends tell me I'm pretty. Trigger tells my I'm ugly. I first was confused but then realised I'm both. Pretty ugly. #tru #sad #tumblr",0.64
"Can we go back 2 weeks and start again ?? This is seriously dreadful",0.667
"The two Brians, @BlackEyedNBlues &amp; @onthehorn500, also known as the Nigella Lawsons of #blues &amp; #pizza.",0.114
"@grumpy_pumper I involuntarily smile when you frown in photos. And giggle. How annoying!!",0.263
