content,sentiment
"@mdivincenzo9 he's stupid, I hate him lol #bitter",anger
"@GreatFallVoyagr #bitter sums it up! Congrats Nicole! that's all folks #bb18 now onto #survivor !",anger
"@HebertofNH any time a man who got paid to throw temper tantrums speaks up, you gotta listen.",anger
"I wonder what would happen if I were to tell some people the truth #savage #uhoh #angry",anger
"Cheap pout my brodcast",anger
"Houston might lose a coach tomorrow or by midnight.  #yikes #offense?",anger
"@simon_penn_r @AntisocialJW2 has turned into a rather fiery GG radical)",anger
"@FoxNews @SheriffClarke @FoxNewsInsider This man is an affront to our justice system.",anger
"When you've still got a whole season of Wentworth to watch and a stupid cunt in work ruins it for us \xf0\x9f\x98\xad\xf0\x9f\x98\xad @__KirstyGA  #oldcunt",anger
"@paulsherard @margarethaynie wow I just realized how much of a sexist pig I am! I am truly sorry to anyone I offended",anger
"Howard Webb always held up as knowing the answers. No red. Sutton and Craigan raging! Hahaha",anger
"@ticcikasie1 With a frown, she let's out a distraught 'Gardevoir' saying that she wishes she had a trainer",anger
"some of the casuals tweets that Vic has faved are making me gag ",anger
"@Supergold2002 Terence- got a lot of anger issues from my family and school.",anger
"@Evan_McMullin He's spent his campaign dividing people up and pitting them against each other. His message is to fear and resent the 'other'",anger
"@EtherealMystic_ She was winning this war that had been raging on inside of his mind. The desire and love all rolling into something he -",anger
"@JaredLeto Jared + #snap? \xf0\x9f\x92\x98",anger
"@CallumPinner you came in at silly o'clock and woke me up that's what happened #wasted #fuming",anger
"Finally uploaded the file I needed to the university server's drop box. It took like half an hour and a lot of cursing and anger on my part",anger
"My nephew sees that i have a frown on my face and he tells me 'you're  beautiful '!\xf0\x9f\x98\xa2\xf0\x9f\x92\x9e\xf0\x9f\x98\xa9",anger
"Actually be arsed with my sister sometimes, she controls the TV 90% of the time and when I watch one thing she gets in a huff \xf0\x9f\x99\x84",anger
"@thomeagle Just to help maintain and boost our status as a world class centre for education, culture and tolerance. #outrage",anger
"There's this Bpharm4 guy Eish that guy brings anger into my life. When I see him nje like darkness fills me @RamatsobaneM will know",anger
"says, who are you to compared me with the others; I'm just human. #lit #fire ",anger
"No, nipples don't offend me lol. But it's sad to me to see women purposely flaunting/sexualizing their own bodies in a very immodest way.",anger
"I hope my hustle don't offend nobody",anger
"ramos does what he does best burning haters with his head",anger
"@MegMuphet I wasn't meaning to offend you. I was saying from personal experience. Kids got placed into these classes and they take advantage",anger
"If my luck the rest of Fall goes anything like today, I think I'm going to like this season. #bestdayever #magic #work ",anger
"Follow me on Snapchat \xf0\x9f\x91\xbb Carlabtst15 #snapchat ",anger
"@sippycoups if it hurts too much to eat, i read somewhere that marshmallows are good bc they are soft and don't irritate",anger
"The book im riteing about wots happond has made them moor angry but im not here to plese man or hide the eval deeds of some",anger
"Don't join @BTCare they put the phone down on you, talk over you and are rude. Taking money out of my acc willynilly! ",anger
"@SarahMi40605180 @kaileighhxo sorry to burst the bubble but there was never any illusion \xf0\x9f\x99\x88\xf0\x9f\x98\x82\xf0\x9f\x98\x82",anger
"Once again the only thing on my feed is naay raging about something and my brother filling in all the gaps",anger
"@Gielnorian @HedonismGaming cmode grimrail made me want to eat angry bees",anger
"my mom cut my phone off and I'm so furious \xf0\x9f\xa4\x97",anger
"Don't chase fame\\nif you're going\\nto resent it\\nwhen it starts\\nchasing you'\\nWRDSMTH",anger
"I hate not having the answers I need. #tomourssuck #prayinsnotcancer #angry",anger
"So excited to watch @RuPaulsDragRace #allstars \\n #RuPaul ",anger
"So my Indian Uber driver just called someone the N word. If I wasn't in a moving vehicle I'd have jumped out #disgusted ",anger
"#Hudcomedy #AdamRowe  #insult Slutfaceshlongnugget",anger
"These NA kids are relentless",anger
"Why mfs so bitter",anger
"Like hello? I am your first born you must always laugh at my jokes. #offended",anger
"I really really resent having to go to bed at a sensible hour, you guys. I WANT TO TALK TO MY PEOPLE.",anger
"@ThatAnt_ @Football_Pollss i have hit a lot of irate villa fans lol",anger
"@St8edge4life88 eh well i can do the sting vs cactus loser leaves wcw match at bash at the beach lol",anger
"I had Golden Ocean the other day it was lush, then I gagged and was sick... What a waste of \xc2\xa320 - I was fuming @EmmaGould_ I miss you",anger
"Gotta wonder why Caller Max listens to the show in the first place if you so incense him @MSignorile",anger
"Thou wilt be as valiant as the wrathful dove, or most magnanimous mouse. William Shakesphere",anger
"A black female LEO\xf0\x9f\x92\x99 was shot 8 times and died in Philadelphia --Where's the #outrage black people? @BarackObama #Sharpton #blm #TheFive",anger
"Now they fret about scuffs. I\xe2\x80\x99ll take scuffs (which\xe2\x80\xa6come in) for a phone I can use wet handed or drop in a toilet any day.",anger
"I need all your attention! If I don't I'll pout..",anger
"I believe I'm gonna start singing in my snap stories on the tractor. Switch it up a little bit.",anger
"@TheRevAl please tell us why 'protesting' injustice requires #burning #beating and #looting terrible optics #toussaintromain is true leader!",anger
"People you need to look up the definition of protest. What you are doing is not protesting is called vandalism.  #stop",anger
"Bored rn leave Kik/Snapchat #kik #kikme #kikmessage #boredaf #bored #snapchatme #snapchat  #country #countrygirl",anger
"That feel when you travel 700 miles to pick up a form that arrives in the post two days after you leave. #fume",anger
"@RiveraJose39 happy birthday to my seed\xe2\x80\xbc\xef\xb8\x8f\xe2\x80\xbc\xef\xb8\x8f\xe2\x80\xbc\xef\xb8\x8f #renewtherivalry #imyourdaddy #cantbeatme #madden #tater",anger
"@strangerpeace We'll have a ceremony next time we meet. It'll involve burning something, then possibly booze and/or caffeine.",anger
"@douglas_nat @one11north I need it today! Do u know how many fuckin French plaits I had to do this morn with a stroppy 9 yr old! ",anger
"A 28 yr old man threw a saucepan of boiling water at a garda, &amp; then hit the garda with the shaft of a brush...Letterkenny District Court.",anger
"JV girls earn the W vs Stonington 2-1 today. Goals by K Waite and S Winakor. @DeluciaAlexis 1 assist. @mhseccathletics ",anger
"@bt_uk broadband is shocking regretting signing up now #angry #shouldofgonewithvirgin",anger
"What the fuck am I supposed to do with no lunch, no dinner, no money and I'm off to work  #hangry #day5",anger
"@hoytschile fury road!!",anger
"I wish the next madden has a story mode too. Just like Fifa 17 ",anger
"i already gets aggravated too fast like why aggravate me on purpose?",anger
"Yo gurls Dm for a tribute \xf0\x9f\x98\x9c\xf0\x9f\x92\xa6 #snapme #dm #nudes #tribute #cumtribute #cock #snap #cum #swallow",anger
"@stoozyboy1 @chris_sutton73 \xf0\x9f\x98\x82\xf0\x9f\x98\x82 Oh the zombie rage \xf0\x9f\x98\x82",anger
"Circle K is dead to me. I hate your new slushie machine.  #livid",anger
"@EmmaHobbs1 I did that! 3 days later my order isn't even in the same postcode as me #fuming",anger
"@SouthernRailUK delays from Streatham Cmn to Clap Junc &amp; now train took 20 mins for 9 mins journey. Missed 2 trains to Reading #fuming",anger
"We are raging angry.=1/2 bil $ for 2 pro Liars.(Actors) the most useless people in america Where is ours for working 100 X harder? @FoxNews",anger
"never #make a decision when you are .. #angry &gt;_&lt; .... and never make a #promis when you are #happy :) :*",anger
"I almost feel offended that she thinks that's a big deal. She's knows I'll literally do anything for her or Kai.",anger
"Grateful for all the hungry people in my life! Hungry to learn, change, grow, help, etc - not sure anybody has it better! #relentless",anger
"@UN_Women @JustinTrudeau @CanadianPM Trudeau endulging on outrage culture once again. Preaching issues ad hominem,but never quanitfying them",anger
"I just wanna know why there's no outrage for black on black crime and no one knows those victims but BLM is out to kill cops based on media",anger
"I don't even #feel #anger anymore can't explain it .. #Tulsa #Charlotte #Trayvon #SandraBland #Philando #Ferguson #BatonRouge #MichaelBrown",anger
"Chris ate all my mac n cheese so imma eat all his taffy #revenge",anger
"I heard Movie Bob was furious about the Skittles analogy. He was upset that there wasn't actually any Skittles.",anger
"Because you offended by the lies of Alexandria Goddard doesn't mean that I'm Deric's friend or anything else. Purely a fishin expedition.",anger
"@eNCA what they should be doing is directing their anger to the thieves in government...#corruption #FeesMustFall",anger
"Okay you've annoyed me, you haven't done a good job there at all. #furious",anger
"What u do wen ur love cheats on u ? Wen thy don't understand the emotions behind the anger, the constant waiting.. what u do ? @ritujai18874",anger
"@Lowetide there is no room for jokes in hockey! This is a serious business where we made up teams to fill out the tournament! #outrage",anger
"@atheist_taco @DrJillStein :^) well cucks among her ranks agree equally about their outrage of black youths shot and harambe.",anger
"@brian5or6 turn that shit off!   Home Button under Accessibility. \\n\\nWhen did innovation become mind fuckery?   #rage. #iphonePhoneHome",anger
"Ever put your fist through your laptops screen? If so its time for a new one lmao #rage #anger #hp",anger
"Panpiper playing Big River outside The Bridges in SR1 #outrage",anger
"\xe2\x80\x9cDo not fret if you are not cool! Humans who follow me, become instantly cool!\xe2\x80\x9d #Bot",anger
"@spamvicious I've just found out it's Candice and not Candace. She can pout all she likes for me \xf0\x9f\x98\x8d",anger
"Controlling #anger is a sign of those #righteous people promised #Paradise in the #Quran in Surah Al Imran verses 133-134 #reward #goodDeed",anger
"and apparently he's supposed to have a Scottish accent??? I'm #offended",anger
"Candice on great british bake off with that pout does my head in \xf0\x9f\x91\x8a\xf0\x9f\x8f\xbb\xf0\x9f\x99\x84",anger
"@Remedy0_ switch host no bullet rage.",anger
"@Casper10666 I assure you there is no laughter, but increasing anger at the costs, and arrogance of Westminster.",anger
"@bismahmalik .....Seems like a fight ready to rage on.....",anger
"Prayers &amp; Protection to our brothers and sisters fighting in #Charlotte #rage #against #machines",anger
"gonna eat, pick up my brother, get my car washed &amp; finally go home ressssst &amp; watch all fast &amp; furious movies \xf0\x9f\xa4\x98\xf0\x9f\x8f\xbc",anger
"630am meeting Olympic House #10golds24 .  #relentless #neverquit #believe #dreambig #TeamTTO #going4gold",anger
"@rohan_connolly i think your high-profile female colleague would be one in yhat category... #massexodus ",anger
"@CorningFootball  IT'S GAME DAY!!!!      T MINUS 14:30 ",anger
"@rohan_connolly i think your high-profile female colleague would be one in yhat category... #massexodus #bitter",anger
"if u have time 2 open a snap, u have time 2 respond",anger
"@ChrisWarcraft species cf. Don Jr. refugees/Skittles.know he likes his snacks,but even @gop frown on talking about eating humans #lizardscum",anger
"Ok but how are the fast &amp; furious movies NOT classified as comedy's? \xf0\x9f\xa4\x94",anger
"@TillTheEndMMVI I accidetly dumped boiling water my myself \xf0\x9f\x98\xab",anger
"one month til someone's bday and i think it's time to flaunt that I got them something pretty awesome #revenge",anger
"Dentist just said to me' I'm going to numb your front lip up so it'll feel as if you've got lips like Pete Burns!...... She was right ",anger
"but that was a mistake and a half assed excuse and now here i am burning in hell forever",anger
"Anyway I'm in a car with a furious white men and I have a really funny story to tell when I'm sober \xf0\x9f\x98\x82",anger
"@XboxMAD @RobotBrush Ballmer will be furious. Another delivery lost...",anger
"@StarFlowerz17 @DreamerAbe #bitter. Nicole and Cory is why she was evicted.",anger
"The best revenge is massive success. \xe2\x80\x93Frank Sinatra",anger
"#ADP's #ezlabor web portal has to be THE SLOWEST web app I have ever had the displeasure of using!!",anger
"@UnitedFrontRev @JuanDeznuts @LucidHurricane_ sex offense happens across ALL races, cultures, and creeds &amp; they should be castrated",anger
"Good luck to all Fury-Haney players playing this weekend at the Future Stars showcase in Frisco, Tx. #KGB #G-town ",anger
"James: no 500k, no 50k, no 25k, no 10k. You fucked up. #bb18 #bitter  #shouldofVotedforNicole",anger
"@paulbushnell25 @EE bad news if ordered online it hasn't gone through same happened to me had to re order on the phone ",anger
"@HannahFJames I'm distraught! \xf0\x9f\x98\xad Candice and her pout can piss off",anger
"Tonight's #DragRace #AllStars2 episode GAVE ME LIFE! Yaassss queens! #teamalaska #teamkatya  #bwahaha",anger
"I've never seen fast &amp; furious Tokyo drift. Boutta watch it",anger
"also other ppl who i love a whole damn lot; erica, joanna, tiff, sirli, harley, anja, (the rest of the gc bc i ran out of chara!)",anger
"The ghost of Stefano reflects on the grim indignity of being murdered by corrupt cops in faux love. #days",anger
"@lericoo 35. Do you hold a grudge against your ex?",anger
"@evanareteos :)) im now writing abt the changing face of sex industry in tr :))) now men will talk to me then! #revenge",anger
"How on earth can the projection of all that is good and happy and true in my soul be a poisonous fucking snake? #patronus #adder ",anger
"Nothing more entertaining and frightening than a #bitter #alcoholic trying desperately to get your attention.....",anger
"@luxbet Did you even give out any pizzas ? Serious fail #hungry #furious #hangry",anger
"@VodafoneUKhelp @VodafoneUK wow!! My bill is \xc2\xa344.77 and hav a text from u to prove that and you have taken \xc2\xa3148!!!!! #swines  #con!",anger
"Goddamn headache. ",anger
"I either look like a raging bitch, or I'm obnoxiously laughing at something not that funny. I don't think there's any middle ground.",anger
"@esraalajmy huff btw ty\xf0\x9f\x98\x94",anger
"@DPD_UK I asked for my parcel to be delivered to a pick up store not my address #fuming #poorcustomerservice",anger
"My back is starting to irritate me and it's barely 2:19 \xf0\x9f\x98\x93",anger
"Take public opinion on revenge with Pakistan if govt is unable to decide. @aajtak @TimesNow @narendramodi",anger
"@Apple thanks for ios10 update, even the best app @telegram freezing and crashing on SE. ",anger
"New madden kicking \xf0\x9f\x9a\xae",anger
"@clarechampion @Westclarepage and peter your radio piece on off the ball was pure class , no digs , no revenge , a total balanced pro ! \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f",anger
"@tttinplay nice. why are u fuming then \xf0\x9f\x98\x82",anger
"@jaaames1993 Literally burst out laughing.",anger
"Egyptian officials expressed frustration and outrage over the Obama/Hillary administration\xe2\x80\x99s support of the Muslim Brotherhood",anger
"Just watching crimewatch what kind of sick fuck touches 6 year olds \xf0\x9f\x98\xa1\xf0\x9f\x98\xa1\xf0\x9f\x98\xa1\xf0\x9f\x98\xa1 shit like this makes me fume!!!",anger
"@gayla_weeks1 I try not to let my anger seep into reviews, but I resent having my time wasted on books like that. Time is precious.",anger
"@lynnew69 then he said talking about wills uncontrollable animals when moving to another link. These comments do not help! #fuming",anger
"My baskets are better when I'm in a bad mood someone irritate me before practice please",anger
"I miss my gran singing Rawhide, in her deep baritone growl.",anger
"@bringyouhome2 I'm about to fly into a fit of rage it's not FAIR",anger
"You insult the late Sherri Martel",anger
"No offense but to the ppl out there using creams to build your glutes...COME ON. Go squat and what not.",anger
"@tomwilcox77 @mattgrime fuming",anger
"@healeyraine I'm offended, I actually am",anger
"Don't be bitter",anger
"#IndiaMissingIndira that she could never solve Kashmir Problem and kept it burning for Vote Bank\\n#TerrorStatePak",anger
"i love the word fret so much and im in heaven",anger
"I'm not saying he might be like big foot but it might be like natural biological father says blood boiling if he cross",anger
"Puzzle investing opening portland feodal population is correlative straight a snorting infuriate: XLzjYhG",anger
"@FoxNews #Poor = #angry and justly so. Offer people some hope! My god, does anyone see this?! #Education should not be for the #elite",anger
"@TheDTSB @trubble1127 @nflnetwork I agree but our offense was ass after the second half td score on the first drive",anger
"Just paid for chicken at @panerabread and didn't even get any \xf0\x9f\x98\x91\xf0\x9f\x98\x91\xf0\x9f\x98\x91 there goes 4 dollars and me as a customer ",anger
"Chick told me I look like Childish Gambino. #insult or #compliment",anger
"@hollyrobinson__ Part 2-was buzzing for a cheeky squashie or two-this was NOT what i expected.SORT IT OUT! #food #angry  @coopuk @coopukfood",anger
"@SouthernRailUK delays from Streatham Cmn to Clap Junc &amp; now train took 20 mins for 9 mins journey. Missed 2 trains to Reading ",anger
"@cc_yandian @HillaryClinton her team must draw from a hat for daily personality #drugged #angry #yeller #quiet #screamer #\xf0\x9f\x98\x82\xf0\x9f\x98\x82",anger
"@MarkTOByrne I offered @WholeFoods @amazon @CheapAir gold or silver but they said Nah... #bitcoin #snap",anger
"You offend me, @Tansorma",anger
"@RossKemp watching on +1. I would have been straight out of there with the guy who was getting irate! #ExtremeWorld",anger
"my dogs making the most RIDICULOUS sounds right now its like a high pitched gargle-y growl",anger
"Unbelievable takes 10 minutes to get through to @BarclaysUK then there's a fault and the call hangs up #fuming #treatcustomersfairly",anger
"@AgentTinsley I believe that's what you call the fury of the righteous.",anger
"Got a $20 tip from a drunk Uber passenger. Today I get a $25 parking ticket. I'd blame karma but my dumb ass forgot to pay the meter. ",anger
"If I spend more than \xc2\xa310 in shimmy on \xc2\xa31 drinks I'll be raging, but we all know it's gonna happen",anger
"Actually fuming I have nothing to wear Saturday",anger
"This fuck you is boiling up inside, its not gonna be good when I let it out.",anger
"Who the hell is drilling outside my house?! Literally got to sleep at half four after a busy shift and these twats have woken me up ",anger
"If you let a general tweet offend you, you definitely shouldn't be on twitter.",anger
"@JuliaHB1 Bloody right ",anger
"@kjwinston11 2.  the N-word. But I think all Afr-Am are entitled to it: we shouldn't take away from them the insult they have claimed back.",anger
" I can't guess if you holding a grudge against the best'",anger
"#Scorpio always seek revenge!",anger
"@Kim_is__bored exactly what I have been saying on fb.. #bitter",anger
"Didn't think Cadres not Getting SRC deployment would make some Cadres so bitter, Ku tough Macom.",anger
"@BI_Science Opioid rapid pill plague...Speed generations Pulse Rapid rabid Impairment Ist Choice Stacked usage vs street ingestion demo US",anger
"angry already",anger
"@bassekraah. @sunilddesai @jyoti1013 @Archnahr . A2: #irritation and isolation #lifenabler",anger
"@MetPoliceFC is it true none of your players are cops? Do they drink chilled bitter? Are your players Walter Mitty types? @KeviboyAllen",anger
"im on holiday for the next round, fuming!",anger
"If someone keeps #laughing at you, don't #fret  . At least u r giving #happiness .'\\n#quotes #quotestoliveby",anger
"You're so thirsty for the chance to disagree w/ the left, that you don't even realize when something is an affront to your bigoted platform.",anger
"Kik me I want to swap pics I will post on my account anonymously if you wish Kik: vsvplou #Kik #kikme  #nudes #tits #snapchat",anger
"the 1975 are playing antichrist why won't @sundarakarma play hustle it's an outrage",anger
"Ananya just grabbed a bible, opened it, started reading, and then said 'where do they talk about burning people?'",anger
"whenever i pout i just want Adrian to appear and tell me to stop pouting or else",anger
"very little frustrates me as much as misplacing something. Been looking for my keys for 2 hours now #rage",anger
"@fleetstreetfox It's buzzing pathetically for sympathy if you let it out it will twirl it's moustache, chuckle and sting you #Psychowasp",anger
"Can't believe @virginmedia are putting their prices up!! They already know I'm struggling to pay my bill &amp; won't change my package!! #raging",anger
"Some bloke on the train who's obviously trying to provoke West Ham fans by loudly slagging off the stadium to his mate on the phone",anger
"British humour should offend and challenge mainstream views. Hat off to Clarkeson. The ultra left should go and kneel before Allah!!",anger
"@NeoFundie @fitchest Ha. Right. I'm from San Jose, CA, and I was offended right there with you. Dave, go on a walk or something next time.",anger
"@matthew_meadows Since it's a friend of Pereg's I don't want to offend :) #Peace",anger
"They're like the rape apologists who (inadvertently?) make men sound like rabid, mindless beasts. With friends like these...",anger
"@soyoprincess they irritate me. Them and their inch thick made up masks",anger
"@AmericanAir I am irate at you check-in system. I have tried to checkin all day and it wouldn't let me do it because I had no seat assigned",anger
"Imagine celtic burst the net wae every attempt, but nutt same old dain it hard way usual",anger
"I asked Jared to marry me and he said no. ",anger
"SOMEONE LET SNAKES IN MY HOUSE, I BET IT @Ya_Boi_Huck I KILL THAT BUGGER WHEN I GET MY HANDS ON HIM  #HuckFP2",anger
"Y'all bitches be so angry and bitter, that must truly suck lol",anger
"Bloody parking ticket \xf0\x9f\x98\x92\xf0\x9f\x92\xb8 #fuming",anger
"Boys Dm me pictures of your cocks! The best one will get uploaded! \xe2\x98\xba\xef\xb8\x8f\xf0\x9f\x92\xa6\xf0\x9f\x92\xa6 #Cumtribute #dm  #snapchat #snapme #nudes #dickpic #cocktribute",anger
"@RiveraJose39 happy birthday to my seed\xe2\x80\xbc\xef\xb8\x8f\xe2\x80\xbc\xef\xb8\x8f\xe2\x80\xbc\xef\xb8\x8f #renewtherivalry #imyourdaddy #cantbeatme  #tater",anger
"@jamiesmart Huh! It's always my fault isn't it &gt;:(  #sulk",anger
"@cxmbeferre so you WOULDNT date me????? ",anger
"This anger inside I turned to fuel, I burned and watched myself spin down, like inferno types,",anger
"@DanRather What King says doesn't matter. The fact he came w/ psycho Don is by far more of an affront.",anger
"Dear @TfL please tell your bus drivers if obstruction on their side DON'T just pull out to oncoming traffic causing vehs to swerve #fuming \xf0\x9f\x98\xa1",anger
"Still can't log into my fucking Snapchat #Snapchat ",anger
"#disgracefulesin I resent all men in some way; for some or no reason at all. #esinscountdown",anger
"@summar_rose @turehndebushra @_taaz_mania @fxla_ summar one more insult from you and you're gone Idc if you're my dad",anger
"@UlsterWillFight @VanguardBears Looks like a rabid pack of inbreds.",anger
"I wonder what American city will be next to protest about police shootings. Who's next? Smh. #whenwillitstop  #howmanymoretimes",anger
"@BigBrother__USA she is just jealous and a cry baby! #bitter #gladsheisgone #crybaby",anger
"@XemitSellsMagic add tracking but resent them",anger
"People often grudge others what they cannot enjoy themselves.",anger
"@ggreenwald What if the supposed animosity is all bullshit to con the Iranians?",anger
"@Bell @Bell_Support Cancelling home Fibe, Internet and TV this afternoon - as soon as I can arrange alternate Internet. 2/2 #angry #fedup",anger
"Well @AprilDRyan Trump's rabid base needs 2 hear this &amp; U can always find an overseer like King to say it.\\n@JoyAnnReid @SMShow @frangeladuo",anger
"@leener00 @libbyfloyd1 @G_Eazy my snap is andriaprebles \xe2\x9d\xa4\xef\xb8\x8f",anger
"So my Indian Uber driver just called someone the N word. If I wasn't in a moving vehicle I'd have jumped out #disgusted #offended",anger
"The liberal outrage over don king saying the N-word really angers me. The white yuppie progressives can go fuck themselves, shame on blacks",anger
"@pugglelover3691 some of those haters are just taught hate and not shown love. There is a good quote that goes to your comment tiff, treat",anger
