content,sentiment_value
"Everybody's worried about stopping #terrorism. Well, there's a really easy way: stop participating in it. -  Noam Chomsky",0.583
"@ChrissyCostanza and have social anxiety. There is many awkward things wrong with me. \xf0\x9f\x98\x84",0.771
"@sethwieck you should do a TED Talk on 'bubledygook'! I'm sure you could convince the masses to distrust those decrying TED Talks!",0.396
"@MobilePunch  alarming",0.5
"Saga: When all of your devices and teles fail just in time for bake off  #gbbo",0.583
"@fatgirlhealthy @MBSCBILL ....so that what do to use violence and intimidation for a polictical agenda.; aka terrorism?",0.667
"@jk_rowling @Riverfeather207 Donald Trump in the White House ",0.417
"@FaithHill I remember it well #happy  #Positive",0.25
"I always dread Wednesday's and the always end up making me the happiest",0.521
"However the agent was inauthentic, my sister still loves me, &amp; I'm still alive. So I guess it wasn't that bad. #socialanxiety #anxiety",0.604
"Sir, my concern is not whether God is on our side; my greatest concern is to be on God's side, for God is always right.' - Abraham Lincoln",0.333
"It appears my fire alarm disapproves of my cooking style",0.292
"Hahahah what a horrific penalty from bayer. 5 feet wide. Jesus",0.333
"We're very busy #coding a whole network manager for #unity3d based on #steamworks networking. #gamedev #indiedev #3amDeadTime #horror #game",0.417
"White Americans are worried about Arab terrorists. Black Americans are fearful of a terrorist in a Police uniform on a daily basis.",0.854
"@yellowsuburbia really?? after so long that's shocking tbh",0.542
"@Montel_Williams If this ban goes through, it will harm so many people, disabled veterans, people who have #chronicpain,  #iamkratom",0.685
"@BBCPolitics @BBCNews I'd rather leave my child with @BorisJohnson #shudder",0.833
"The majority of my clients have family/ partner/ day job/ life AND write their beautiful books.  #gratitude #HARDwork",0.123
"Tremor!!!\\n ",0.759
"A Lysol can got stuck in spray position and we're all slowly suffocating from the trash can that smells like a Febreeze factory. #panic",0.729
"@TweetinderKaul @rupasubramanya @chandanwriter @TheQuint @ShivAroor future convicts rush in where TRP hogs fear to tread #HomilyHour",0.417
"Overtime... #TeamNA #WCH2016 ",0.348
"Are you worrying/worried?\\n1Peter 5:7\\nThrow all your worry on him, because he cares for you. #faith #leadership  #mindfulness #success",0.375
"dread pitt",0.521
"Bloody hell Pam, calm yourself down. But could have sworn something black &amp; hairy just ran across the carpet, #perilsoflivingalone ",0.812
"I am going to make it my life's mission to discourage anyone from using @CapitalOne. They will rob you blind",0.375
"We're all in D. T. (Discipleship training or detox) for something. #messy #fearful #cutoff #choosefreedom #CryOut16",0.604
"Hey @gmail why can I only see 15 sent emails? Where's the thousands gone? ",0.375
"@aidankerrpol I think you should do. Get the fashion police involved. #shocking",0.458
"Wishing i was rich so i didnt have to get up this morning #poor #sleepy #restless #sad #needsmoresleep",0.469
"Came in to work today 1.5 hours late.1st thing I hear: 'Ma'am,the big boss has been waiting for you in his office.' #panic #hateBeingLate \xf0\x9f\x98\xa9\xf0\x9f\x98\xaa",0.896
"@S_Moore24 wow that sounds terrific",0.146
"@CornflakeDaddy @youngvulgarian Yeah, it was sooo horrific, I needed to sit down",0.792
"Mom you remember when Narley died? You cried like a baby! #bully",0.458
"@OC_Transpo some weeks there are no problems but this week is unbelievable -- are you guys even running regular 12 buses? #awful #solate",0.456
"The most important characteristic of leadership is the lack of #fear.  #activism #equity #revolution",0.354
"@SAHARTHERAPPER I unfollowed without hesitation &lt;3",0.229
"@Red9Nick @Audi_Nutz @NickBuck08 @Thompson2Neil @Insaniti_LFC @knoller2 @KemlynRoadStand @godisared don't be shy their great people\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb",0.25
"Time for some despair #SDR3  #fuckthisanime",0.688
"#travelfail #virgin #virginaus and #etihad #nightmare ... And now we're also delayed. #obvs \xf0\x9f\x99\x84\xf0\x9f\x98\xa0",0.438
"shake fries",0.181
"I really hate Mel and Sue. They think they're hilarious and they're just awful",0.375
"@_jamiebraidwood haha, horrific is all that needs to be said. Glad I'm away to Spain on Sat so missing game \xf0\x9f\x8d\xb9\xf0\x9f\x8d\x95\xf0\x9f\x8d\xba\xe2\x98\x89\xe2\x98\x89",0.479
"@kevinrouth Now that's what I call a gameface! #gameface ",0.188
"Happy Birthday to my favorite author, @StephenKing  #writer #author",0.208
"@RJAH_NHS @ChrisHudson76 @mbrandreth #course day # potential Leadership #excited #nervous # proud",0.646
"@JamieSmart93 that was shocking!",0.458
"#Trends thread;'P)..it was in my #drafts&amp;now #posted 2 mins after my #birthday..so #close:'O!:''/...but anyway it #really was the #start of",0.312
"@UndeadLayne @Lauren_Southern all the bully",0.354
"@jk_rowling never thought an angry oompa loompa would be my Boggart, but there you have it. #boggart #PresidentTrump ",0.5
"@lukeshawtime terrible",0.521
"$100 says Teufel is 'reassigned' within the organization before next year, but I wish it was sooner... #Mets #thirdbasecoach #terrible #lgm",0.417
"Don't forget 2 test yr #smoke #alarm, #carbon #monoxide #detector #batteries. It could save your #life. \xf0\x9f\x90\x88\xf0\x9f\x90\xa9 #Lovinleeds",0.417
"@wrexham I've joined holidog, paw shake and tailster and have one regular customer I just love it \xf0\x9f\x99\x88\xf0\x9f\x99\x88haha @EmilyHD26 @ellshd",0.208
"@HillaryClinton Americans for HRC! Now maybe, as you see the world getting rid of terror to save their countries you'll get the  DEMS out.",0.604
"I'm curious to know just how much money the original Air Bud made to justify the continuation of these awful sequels and spinoffs.",0.271
"I am in #shock and #awe and the places my #toddler manages to get his dinner.",0.438
"@Mista_Nightmare i dont understand why u do videos every week spend time with your family instead of working on horror #takeabreak",0.542
"In addition to fiction, wish me luck on my research paper this semester. 15-20 pages, oh boy. #daunting",0.62
"@OpheliaMCFLY_GD yes!! Once I'm done with people I'm really done.... lying to me is the worse thing someone can do I'm a nightmare \xf0\x9f\x98\x82",0.479
".@monsoonuk Ordered before 10pm last night, paid for next day. Didn't bother to fufill order. Now 14 working days for a refund! ",0.375
"@Morning_Joe @JoeNBC @mikebarnicle Trump says the refugee situation 'is not just about terrorism it's about quality of life.' Take note.",0.542
"@Marissa_Frost @NevAmore_MFC awe I love you twooo!!! come adventure with me someday!",0.134
"I'm so confused by the new American horror story \xf0\x9f\x98\xa9",0.521
"@gdimelow @TheDailyShow @NivenJ1 @jordanklepper These interviews scare the crap out of me. I never imagined so many dumb, dumb Americans.",0.812
"US you need to band together not apart #nevertrump he promotes hatred and fuels ",0.625
"@jamieyates That's what we strive for, Jamie! Please don't hesitate to reach out if you have any questions along the way. \xf0\x9f\x99\x82",0.229
"@breadf2man @SunApology and it's Kelvin Mackenzie tomorrow... #shudder DontBuyTheSun",0.46
"@Simon_Barrett I will watch @BlairWitchMovie when it opens in Mexico in a week. Thank you for making it and don't be discouraged.",0.271
"courage the cowardly dog is like american horror story for kids",0.417
"Being alone is better than being lonely. Know what is worse than being lonely? Being empty; that's right!\\n #Loneliness #aloneinthecity ",0.688
"When someone tells you they're going to 'tear you apart' and all they have to say is 'why are you so tall?' ",0.354
"#India right of reply at #UNGA - #Pakistan preaching of human rights is by a country which is itself the global epicentre of #terrorism",0.742
"Collects all the times when Minerva would chew on his cape. Begins to shiver, runs a hand through his hair. \\n\\n'You can surely\xe2\x94\x81\\n@ardentflier",0.521
"Everything you\xe2\x80\x99ve ever wanted is on the other side of fear. \xe2\x80\x93George Addair #ThursdayThoughts #yourpushfactor  #life #quote",0.271
"Ugh I want to punch a wall every time I have to use @windows 10. Literally the worst product ever made #windows10 #awful #killme",0.542
"@comcast you charge 150 extra for sending someone out and your cable service still doesn't work. That's robbery.  #cable #horrible #service",0.333
"@MS_Hiddle_Batch no the flavour of Danish is far better but Danish pastry can be daunting to make!",0.396
"@AmyMek this is so absurd I could laugh right now (if I also didn't feel like crying for the future of our country).  #wakeupcall",0.657
"Background. Suffered a bit at times of #stress. Always a bit #shy. About 8 years ago (aged 30) I was made redundant. That's when it started",0.771
"#EFT is the single most effective tool I've learned in 40 years of being a therapist-Dr. Curtis A. Steele (psychiatrist) #stress ",0.417
"When you're scared to press send #bgoodthepoet #PrayForMe #ThisIsAGodDream #career #help #fear #heart #HeartRacing",0.842
"@EricNobody @ArmouredSkeptic @YouTube This shit is gonna start a cold war of who can flag who first.",0.4
"@Burnt_Out_Darth @theaterofscifi thanks. ",0.22
"@FJHobson @Beaker126 @Biastai how would you suggest we profile to stop right wing terror",0.521
"Obama admin rejects Texas plan to have refugees vetted for terrorism so Texas pulls of of fed refugee resettlement program. Aiding .",0.458
"@Taniel @LOLGOP That'll be gosh darn terrific if they only check the brown people. Shucks, let's make a law to say only brown people.",0.458
"@CesarSampao @thisisbolton don't get me started on town centre. Used to go every week.... not been for 18 months #horrible",0.479
"@Theresa_Talbot @fleurrbie Haha...sorry about the dreadful puns... I need to get out more....I've been cooped up lately...",0.562
"I'm so nervous \xf0\x9f\x98\xad",0.854
"My doctor has taken a liking to poking prodding and drawing blood from me post dad. Over concern is nice but dear gawd needles :O",0.771
"I don't know what WiFi/ISP Rivertide Suites in Seaside #Oregon uses. But 53ms ping best I can get and a D/L test won't complete.. #terrible",0.333
"@Gotham3 ~ Crushes are for kids! Just like trix. \\rHow bout some full blown up Love that makes you quiver deep down into your core? Y E S *=*",0.396
"@MasterTomTheDom  I hate winter, I dread it's arrival.",0.556
"Fingers crossed I can finish all my work early enough this Friday in time to catch @Raury at LIB \xf0\x9f\x98\xa6  #timetogrind",0.688
"@Doubtism I'm not on about history or  other people, I'm on about you. I've bullied no one, I make three posts and you attack ",0.544
"Round 2 #panic #pcola",0.604
"@ayeshashafique5 we are not concerned about Pakistan's internal affairs. But the terrorism as it's state &amp; economic policy.#terroristnation",0.565
"Rooney ! Oh dear, oh dear ! Fucking dreadful \xf0\x9f\x99\x88\xe2\x9a\xbd\xef\xb8\x8f\xe2\x9a\xbd\xef\xb8\x8f",0.646
"Ready for my sweet princess to arrive. I'll he 37 weeks this Saturday! #excited ",0.167
"#tulsa - Police manufacture murder... Wonder why we carry burners...? - MaxLevelz ",0.583
".@SimonNRicketts if you don't know what a patronus is, I don't think we should have to tell you ",0.271
"Am I the only one with parking sensors who still manages to reverse into things? #nightmare",0.528
"@Gen_Ironicus Musicians have a superstitious dread of crossing highway 69, true story",0.375
"I really wanna go to fright fest \xf0\x9f\x98\xa9",0.333
"Home is where the heart lies ! Love my little island but my birth city just ain't acting right &amp; im not feeling too good about it #restless",0.583
"@salutetroye you look adorable awe",0.062
"It's simple I get after two shots of espresso 'Grande, decaf, 130 degrees soy americano with extra foam' #barista ",0.125
"Farting in a hot are car when your windows don't roll down is terrible. #gag #BresAdvice",0.479
"I need to learn to be in one place at one time and try not to worry about everything all at once",0.625
"Trying to book holiday flights on @britishairways website is becoming a ",0.312
"There goes the butterflies in my stomach.  #anxietyproblems",0.702
"@StephenKing\\n\\nStephen King never once spoke out about how the Left crushes #FreeSpeech in publishing world.\\n\\n #Trump  #scifi #ccot #p2",0.375
"a #monster is only a #monster if you view him through ",0.438
"On @Varneyco/@FoxBusiness to talk latest on #Chelsea Bombing + #Ahmad_Khan_Rahami's trips to #Afghanistan/#Pakistan #tcot ",0.604
"Whenever you are confronted by a wild animal or hostile individual remember that they can smell #fear or the fact you #poop your pants.",0.75
"Machine keeps beeping* \\nNurse: Don't worry. You're all good. Vitals are normal for your size. \\n*Walks back out* \\nMatt: so you're dying....\xf0\x9f\x98\x91\xf0\x9f\x98\x82",0.458
"Greatest sign of trust is me giving you my laptop or phone without hesitation",0.146
"@caseycdutch @m_rath that's what some rioters are doing ",0.469
"should I #start posting #photos?",0.146
"The irony in that last is that Republicans - more likely to watch Fox News - distrust the news media more. Yet they can't see Fox's lies!",0.409
"Right i may be an #sufc fan and the football maybe shit but marcos rojo for #mufc has had a shocking start he's just dreadful",0.438
"I hate that a black lady is painting herself white on the internet for laughs and likes...  #BadForm #DidntLaugh",0.5
"@eugenelaverty @WorldSBK all the best Moto GP is loosing a very talented rider ",0.312
"@addy_caylen I told her I wasn't fighting her Bc I'm not trashy and she keeps tryna threaten me lmfao",0.458
"@LonelyGoomba UK cops have an issue fearing intervention. Hence situations like Rotherham. So of course it'll be dwarfed by US cops.",0.562
"@SurfaceSupport A profoundly disappointing experience. I have 2 pay almost $500 2 remedy a defect n the product @Microsoft sold me #terrible",0.48
"#start ur day wit a smile\\n#buviobby",0.167
"penny dreadful just cleaved off a fraction of my heart",0.583
"Someone wake me when @Therealkiss make 2016 remix of 'Why'\xe2\x9d\x97\xef\xb8\x8fb/w #TerrenceCrutcher #Election2016 #colinkapernick #terrorism #riots this 2much",0.688
"To com sede de milk shake",0.312
"There's always that one song which makes you turn of the radio, as you'd rather sit in silence \xf0\x9f\x98\xa1 #awful",0.667
"Been up since 4am. Too scared to go back to sleep #nightmare \xe2\x80\x94 feeling scared",0.938
"If I was friends with me I'd hate me SO MUCH with the amount I bully them",0.542
"@rkuuleiq Fear is best/beast product of God/s. :) #aTheism #theism #biBle  #christianity #hell #heaven #purgatory #psychology #jesus",0.37
"Shame on you @SkyNews showing an elephant being hunted and killed, ",0.708
"Why does having anxiety drain some much of your energy #anxiety #sotired #needtosleepforhours",0.917
"@billmaher @realDonaldTrump was right and you two have very similar stances against #radical #islamic #terror. Time to anoint the Orange one",0.521
"Will you #dedicate today to #love or #fear ? It is your #choice in each #moment . - Archangel Michael. #archangel #michael",0.542
"@TheBadgerBoy check out the article on @SaintSkipper5 on @dailyecho #shocking",0.535
"@UCSMindfulness thank u so much! we just finished another #mindfulness film called #release about #anxiety - plz share!",0.375
"@christyfrink @stephenyeargin @El_Brandino I once hooked them up backward. Not recommended. #smoke #panic",0.75
"@JogglingDroid @BrancoCarmine @Otto_English yeah, #UK was quite the #bully",0.536
"Now ...what to do for the next hour while waiting for #OurGirl to start @BBCOne ?!",0.354
"Jorge deserves it, honestly. He's weak. #revolting #90dayfiance",0.229
"Why is it when you nap during the day you are so comfortable but sleeping at night you'll never be as comfortable ",0.375
"So going to local news immediately after #DesignatedSurvivor turns out to be a smooth transition. 'Chaos! A raging fire!...' #media ",0.521
"I was literally shaking getting the EKG done lol \xf0\x9f\x99\x84",0.875
"@WestHamUtd why does the ticket website never work? Trying to buy Palace tickets and it's impossible and says there's an error ",0.375
"a vote for #killary is like sticking a knife in a toaster  #MakeAmericaGreatAgain",0.576
"Not the best horror ever but I like that the uncertainty",0.333
"@SadiqKhan #terrorism shouldn't be a way of life in the united etates and wasn't until #islam brought it here! #IslamExposed #islambacon",0.646
"@mylittlepwnies3 \\n&gt; #terrorism coffee addict\\n&gt; blocks cats, writers, artists and hedonists",0.479
"If my concerns &amp; anxiety don't matter to you then I shall return the favor. #EyeMatter",0.729
"Okay. Brace yourself. I will attempt my first loaf of bread in the morning. I will use a dutch oven. I will make the dough now. ",0.479
"@97_aleix having a terrific game and not at all fazed #MCFC",0.292
"@BennyN_PR If you need any assistance with your concern so it can be resolved, feel free to email us with your info. ^AP",0.25
"McDavid breakaway. Lundqvist with a tremendous save.",0.271
"@iSmashFizzle that's me all the time. I carry ginger candy, peppermint oil and sea-bands at all times #anxiety",0.646
"@darcomafloy OMG IM CRYING HAHAHAHA ikaw talaga tagagising ko HAHA shet i set my alarm BUT I FORGOT TO TURN IT ON but im awake now so--",0.396
"Don't let worry get you down.  Remember that Moses started out as a basket case.  #lol \\nToday, choose #faith over  #Moses",0.25
"For the last 2 years the U.S. has been averaging about 4 terrorist attacks a month. Good debate topic. #Trump #Hillary #terror",0.42
"I can be so shy but once I come out of my shell that's it \xf0\x9f\x98\x82",0.146
"@markhberman2003 @LanceZierlein @790blessing entire team from coaches on down played and coached scared from jumpstreet. ",0.542
"Tomorrow is the day I cut and dye my hair! \xf0\x9f\x98\xb3 #nervous #excited",0.729
"First day of fall quarter tomorrow.  \xf0\x9f\x98\xb0 #nervous #excited #anxious #blargh",0.771
"@_Adam_Price @WalesPolitics  Am afraid you're at back of BBC queue, editorially trumped by Ron Davies and bicycle paths",0.354
"He's intimidated by my work ethic I think he knows I want his spot \xf0\x9f\xa4\x94\xf0\x9f\x98\x89\xf0\x9f\x98\x82\xf0\x9f\x98\x82",0.333
"@Apolocreed4 What is even more shocking is that someone gave him a record deal! lol",0.289
"I had a dream that I dropped my iPhone 7 and it broke T_T #cry #iPhone7 ",0.833
"@Dolla_DeLotta They wanna bully the Inhuman.",0.375
"Pakistan is the biggest victim of terrorism - Nawaz Sharif \\nReally? It should have been biggest creator of terrorism. #UNGA",0.729
"Don't be so shy #nl",0.229
"Just Laying Here, Can't Sleep 4 Some Reason #restless",0.458
"False alarm // matoma &amp; Becky hill",0.2
"In wake of fresh #terror threat and sounding of alert in #Mumbai, praying for safety &amp; security of everybody in the city #Maharashtra #news",0.8
"Next month we'll be running overcoming #lowmood, overcoming #worry and improving #wellbeing courses in #Louth. Self refer on 0303 123 4000",0.562
"@eileen_davidson on RHOBH, you just do not want to assume an affair while you were married so you criticize @LisaVanderpump! ",0.458
"@tariqmateen but sadly he missed some crucial and important points. Indian terrorism in pk,  kal Boshan,  etc..  Raw involvement",0.558
"Forgot to plug the phone in overnight #nightmare",0.542
"My view of the human being is as a dynamic expression of the Cosmos we exist within #humanism ",0.271
"You don't know what to expect by Brendon's video lmao LA devotee video got me shook ",0.354
"@destaneex @ProSyndicate @EGX oh don't panic he's gonna be there",0.438
"@slashersocial #horror H3LL I SURE DID!!! LOL\\nHappy about this decision. :)",0.188
"What's up Cowboys? #horrible",0.354
"Still waiting to see if my @london2012track will make an appearance next week - two months today it was ordered #shocking #badservice",0.583
"@_MariaPetrova should have stopped after 'smiled'. Being rude=not the same as being funny.It was just being mean #bully  #stoppickingonwomen",0.688
"Fingers crossed I can finish all my work early enough this Friday in time to catch @Raury at LIB \xf0\x9f\x98\xa6 #nervous #timetogrind",0.75
"Happy 69th @StephenKing! May u keep haunting us for many years.  #writing",0.208
"I get discouraged because I try for 5 fucking years a contact with Lady Gaga but are thousands of tweets, how she would see my tweet? :(",0.479
"@maggyvaneijk Old age?! No hope for the rest of us. Destined to become deatheaters by 50 #nightmare",0.708
"#EFT is the single most effective tool I've learned in 40 years of being a therapist-Dr. Curtis A. Steele (psychiatrist) #stress #anxiety",0.417
"there are magpies gathering around me help I'm going to be swooped ! ",0.604
"@1NatalieMaines Can you imagine being the person who has to spray tan him? #shudder",0.491
"The Pats are awesome. Belichick is awesome ...they just are. #awestruck",0.062
"@keprdad  BTW, George W Bush left office in ,09. We have had terrific leadership under Barack Obama. Keep America Great.",0.271
"@ClaretNBlues forest gate u could see he was a bully cunt big bald cunt his mates looked in shock when I hit him and didn't do shit when he",0.479
"Was actually just watching AHS while half covering my eyes #scared #Roanoke #nightmare #AHSRoanoke",0.771
"@esanderc @MrsFridayNext It is very specific areas only. I care like 0% about clothes, much to my mother's dismay.",0.375
"My study skills are terrible \xf0\x9f\x98\x92",0.562
"i met with an employment specialist this morning &amp; she basically told me its unlikely i'll get a job because i clearly have too much anxiety",0.9
"#Trump is #afraid of the big, bad #Hillary. #election #PresidentialDebate #PresidentialElection2016 #orangehitler #skip #hide #coward ",0.5
"Unruly kids at 8am in the morning #nothanks ripping the flower beds up by the roots while their parents watch ",0.322
"I thought the nausea and headaches had passed but lol I feel awful today",0.729
"@ReaganBattalion That's a terrible thing to accuse Scott Baio of.",0.438
"Multitasking .... I may have to induce these seeds of mine to sleep. #restless",0.521
"If you think reason will prevail in this election remember that Hitler was elected by what was then a wholly 'reasonable' society. ",0.708
"There's always that one song which makes you turn of the radio, as you'd rather sit in silence \xf0\x9f\x98\xa1 ",0.375
"\xf0\x9f\x98\x82 - youre one of those whod bully me omg but it was all banter and we could laugh at it later haha. Youre a nice guy x",0.188
"I am beyond mad that I lost track of a brown spider in my brown carpet. Where did you go? \xf0\x9f\x95\xb7 will be sneaking up on me #frightened",0.875
"\xe2\x9d\xa4\xef\xb8\x8eI... I can't! I'm scared! Bees terrify me.",0.917
"@iTriborg \xe2\x80\x94 make him feel vigorous. 'Fine. You can kill me now.' Said Hestia with a display of only despair rather than her joyful \xe2\x80\x94",0.458
"Although this war will be under the guise of combating terrorism it will in fact be a war against poverty, ignorance and just stupidity.",0.5
"Which #JohnCarpenter #horror #action #flick is your favorite ??",0.229
"@officialShaky 'Operation Echoes' is gathering momentum ... #tense #nervous #feelsick #excited",0.875
"@BurmanAJ @AMANDAZUCKERMAN I'd rather see KYLE from bbcan play again and THAT is saying something ",0.333
"a #monster is only a #monster if you view him through #fear",0.5
"@debscov65 local solutions fine but not 864 providers negotiating with 32 LA's/IJB 's #scare resources",0.479
"Action is the foundational key to all success ~Pablo Picasso #inspiring #quote #action #hustle  #dosomething #success",0.229
"@britishairways term 5 security queues at arrivals #shocking",0.562
"Will do fine on the mat tonight with or without sleep. theres no worry for that on this side of the water",0.372
"I delete numbers so quick with no hesitation",0.288
"@Lillie_Billy don't worry me and my mans @JJB1Owens gave him a piece of our mind",0.417
"#ArchangelSummit @sethgodin  Anyone can be brave but you just have to last 5 mins longer than everyone else. #leadership ",0.396
"@tcarrels  \\nSo when exactly did you lose your mind, pal? \\n#Trump #fraud #misogynist #liar #psychopath #narcissist #revolting #conartist",0.562
"Bilal Abood, #Iraq #immigrant who lives in Mesquite, Texas, was sentenced to 48 months in prison for lying to the Feds about #terrorism.",0.593
"Remember the #twinkie #scare ???? #tbt",0.438
"@lindseylouwho_ be nice if the Texans could hold onto the ball to give fuller and Hopkins a chance!!! #awful #TNF",0.333
"ok, ok.. I know.. my last tweet was ",0.208
"I had really strange and awful dreams last night. I'd didn't even eat cheese before bed #nightmare #lovemysleep",0.688
"How do you ever stop being #afraid of someone that you live with",0.771
"Everyday gay panic is STUNNING: I drew 1 guy's att'n to it when he blocked up a toilet stall's cracks w/paper towels. TOTAL INCOMPREHENSION.",0.562
"As much as I want a normal little life.. It wouldn't suit me, I'd get restless, I need to just do what I want at all times to be happy \xf0\x9f\x98\x8a",0.333
"@andreasarahco do you actually heely on campus bc this should scare you",0.646
"So I've decided to go talk to Mr. Smithrud about that creepy fucking guy since he gave me a fucking anxiety attack this morning",0.917
"@imjustatrankk awe yay wish i could rt /:",0.312
"The #Texans should never play a prime time game again...this is #awful #TNF",0.333
"This maybe a new start but it will always be align with the end.  #forward",0.375
"When you realize there is #NoHopeForHumanity so you just #start focusing on what's #best for you.",0.542
"#heavyheart these last couple of days, who are the cause of this  #fear of losing someone close ? #amerikkka #kkkops #TerenceCrutcher",0.833
"Realized I intimidate people with low Self Esteem a long time ago. I only surround myself with Winners and people who know how to get money",0.125
"\xe2\x80\x9c My courage always rises at every attempt to intimidate me.\xe2\x80\x9d\\n-Elizabeth Bennett (Pride and Prejudice)\\n#Quotes #Courage #FaceYourFears",0.42
"Patriot rookie QB Jacoby Brissett  to start vs Houston tomorrow nite.\\n\\n'Been a learning process since I got here.Gotta be ready to go.'",0.229
"like srsly somebody help me deal with this social anxiety",0.979
