content,sentiment_value
"@lawson__lynch my kinda girl pleasing the dick right\xf0\x9f\x98\x8d\xf0\x9f\x98\x8f",0.542
"Rojo is so bad it's hilarious.",0.6
"Val is far too cheery for my liking \xe2\x9c\x8b\xf0\x9f\x8f\xbb",0.229
"May a man live well-, and long-enough, to leave many joyful widows behind him.",0.54
"LOVE LOVE LOVE  #fun #relaxationiskey",0.854
"Watch this amazing live.ly broadcast by @flydudern  #musically",0.562
"@CNBCFastMoney Harwood gleeful at these new numbers, bet your money on this reporting...look to lose it...@HillaryClinton liarthiefscoundrel",0.3
"@howcaniapply @radioscarboro Much to my delight!",0.769
"Something about these cool, breezy fall days.. \xf0\x9f\x98\x8d\xf0\x9f\x8d\x82\xf0\x9f\x8c\xbe\xf0\x9f\x8d\x81",0.729
"Thinking about trying some comedy on youtube. Always been fond of it. Time to nut up.  #comedy #maybeoneday #hopefullyfunny #LOL",0.5
"- the joyous occasion of laughing at the ostentatious display of disrespect. Bruce just scoffed at the entire scene. This wasn't Batman\xe2\x80\x99s -",0.5
"Good morning, Trondheim! #optimism #productivity \xe2\x9b\x85\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x87\xb3\xf0\x9f\x87\xb4\xf0\x9f\x8f\xa2\xf0\x9f\x92\xbb\xf0\x9f\x96\xa5\xf0\x9f\x8f\x8b\xf0\x9f\x8f\xbb\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbc\xf0\x9f\x93\xba\xf0\x9f\x8d\xbf",0.771
"@MaxVenator We've had no foreign policy but have had goofy Secretary of State John Kerry with his devil may care pose and jaunty blue scarf.",0.1
"angel delight is my everything",0.66
"Metal keeps you young and spry and keeps your hair luxurious.\\n\\nYES\\n\\nSHUT UP AND LISTEN TO ME",0.46
"Watching Avatar and wondering why I took so long to watch this *collapses in a joyous heap*",0.58
"@_BlueCouture The hilarity of you people not realising that racism is racism regardless of whether one uses choice words is hilarious.",0.271
"Try to find the good in the negative. The negative can turn out to be good.\\n #anxietyrelief  #openminded",0.229
"promise of restoration to the nation of israel...'everywhere you look blessing '..barns/wine overflow.Everything beautiful  #do_u_see",0.56
"#GBBO can cheer me up \xe2\x98\xba\xef\xb8\x8f",0.417
"repentance, and trusting in Christ. It is lowly and painful, but it is also joyous, peaceful, and absolutely glorious. (2/2)",0.479
"@BjerkeDanielle @FunnySayings lol that's hilarious",0.72
"@IreneEstry can't wait to see you Hun #cuddles #gossip #laughter",0.773
"y'all shabazz's name in my phone is 'easy breezy beautiful' &amp; I will not apologize.",0.3
"#blackish always has me #rollin ",0.625
"@DDogsScout 'Oh!' Almost with odd cheerfulness, Big Boss offers: 'Muzzle flash blinding. Accidental by the guy who became my best friend.'",0.396
"@xmaseveevil1. #MSM is rejoicing that they've fooled us with these body doubles for so long &amp; now her death is a secret. Just like Hawkings",0.229
"Headed to Montalvo w/@jaxster3\xe2\x80\x94bring on the #mirth, bitches!\\nd(-_-)b\\n@Nick_Offerman\\n@MeganOMullally\\n#SummerOf69Tour2016",0.44
"@Irenelove83 heres what we can do, Get Brock and Sable to tag team mr and mrs AWOL and watch with glee",0.4
"I refuse to be a chirp chirp girl",0.146
"But uncle buck is on tho . #UncleBuck ",0.417
"There is something v satisfying about  opening an old 'to do'.doc file and being able to check off all the things you have done ",0.602
"listening to the Oblivion score, drinking coffee, researching for new sci-fi animated project.",0.288
"@88Palouseriver @ABC @NRA I rejoice everything time some moron is taken out of the genetics pool.",0.417
"@WyoWiseGuy @LivingVertical however, REI did offer me the job today as well. Can't believe how exponentially freaking joyous I feel...!!!",0.896
"Sharpened a pencil today, haven't sharpened once since 1999. \xe2\x9c\x8f\xef\xb8\x8f ",0.458
"Athenian: When mirth is the order of the day, he ought to be honoured most who gives most mirth to the greatest number (Laws)",0.354
"@WHUFC_HUB @westhamtransfer @TheHammers_ I don't see any reason for optimism at this point. Just stringing together bad performances.",0.06
"Watch this amazing live.ly broadcast by @swagrman_fan  #musically",0.521
"Starting at 22 minutes, this week's @bestshow4life is straight-up paradigm shift level mirth.",0.458
"The world needs more laughter, more love, and a little more of you. - R.M Drake.",0.521
"#ilofitt is #laughter #happiness #spiritual #mental #physical #pizza. Just kidding about the pizza. Work hard in all facets for a fitlife!",0.729
"My @timehop literally cracks me up when I see posts from 2 years ago and later \xf0\x9f\x98\x82 ",0.88
"@ATrumping hahahahahaha!! Oh gosh. You are hilarious. A black man trying to keep racism alive. Get out of here man.",0.402
"Always be #cheerful, #smile often make others happy, care for others, help who feel helpless and #vulnerable. Life feels good #leadership",0.74
"#ContentwiththeLordsPortion:O satisfy us early with thy #mercy;that we may #rejoice &amp; be glad all our days.#Ps 90:14 #gladness #joy ",0.688
"I'm due for a big change! I've prayed on it, I think I deserve it #positivity ",0.6
"Just had #efficient #great #smiling service @AppleBelgique store. Impressive team of geniuses ready to redefine what customer service is!",0.75
"Always hurting somewhere..... ALWAYS tired ....when are you lively ??",0.021
"Incredible that Nawaz Sharif said Pakistan is victim of terrorism &amp; talked abt development in Pak. Incredible how he controlled his laughter",0.346
"Keep smiling :)",0.654
"I can not depict what I feel right now.. I feel jubilant yet anxious, or..dunno. It seems like now I'm having something worth wait everyday.",0.5
"Love your new show @driverminnie ",0.729
"@ReginalTSquirge you could add a jaunty bow\\nOr bells",0.479
"categ than GEN &amp;OBC it cost only 100 or nill .i am not against the reservation and i support it,sir minimize the fees #bright fut @PMOIndia",0.188
"Watch this amazing live.ly broadcast by @kana_blender #lively #musically",0.5
"Literally dying &amp; living at the same time as I catch up on @adrian_ver 's twitter. If you aren't following him your life is BASIC. ",0.354
"The irony and hilarity of making Taylor Lautner super cold all the time is not lost on me. God I missed this show \xf0\x9f\x98\x82#ScreamQueens",0.7
"And girl I love your perfume there's something bout you \xf0\x9f\x8e\xa7 ",0.729
"Look forward to the detours because they bring delightful surprises. #lifequote #delight",0.56
"\xf0\x9f\x98\xb1 @cailamarsai you've had me \xf0\x9f\x98\x82 \xf0\x9f\x98\x82 the whole time watching @black_ishABC after you've lost your #glasses! It was #hilarious! @mrbabyboogaloo",0.9
"Sioux Valley wins home competitive #cheer invite with a score of 158. ...Dell Rapids second at 138",0.583
"#OneSimpleChange: Drink sparkling water instead of soft drinks to steer clear of fructose while still getting a refreshing carbonation kick.",0.227
"@Communism_Kills i get the subway melt and make sure it's only hearty italian bread... black olives are a must though",0.38
"I'm still laughing 'Bitch took my pillow' line  #kurt",0.613
"Accept the challenges so that you can feel the exhilaration of victory.",0.562
"Bunk ur class\xf0\x9f\x93\x9a at least once in your life time cuz later when u look back good marks will not make u happy but memories\xf0\x9f\x98\x8a will'    -APJ",0.646
"@Onision @Eugenia_Cooney annoyed by the good loving fans of Onision including myself Is really annoyed at how people just are too cheerful.",0.104
"Finally have all my braces on and I can't stop smiling \xf0\x9f\x98\x8a\xf0\x9f\x98\x8a\xf0\x9f\x98\x8a\xf0\x9f\x98\x8a\xf0\x9f\x98\x8a",0.94
"I really hate Mel and Sue. They think they're hilarious and they're just awful",0.14
"Time to go hit up the library - I have a lovely PILE of book reservations to collect this morning...  #books #reading",0.521
"Pochettino buoyant. Complimentary about his young players. But says 'now our attention turns to Middlesbrough'. #THFC @BBCLondonSport",0.38
"@enews #breezy deserve it..",0.4
"@AQpk which was worse than expected and hilarious too. no one will even remember.",0.479
"Girlfriends cooking me dinner again. spag blow it is, not to sure if she need my help \xf0\x9f\x98\x82\xf0\x9f\x98\x82 #girlfriends ",0.708
"@_Kdddd drop some off at 1133 cheery",0.312
"@KWAYNTjoia it's exhilarating",0.583
"A #smile can mean a thousand words, but it can also hide a thousand #problems. #Fact #TeamFollowBack",0.354
"The race advances only by the extra achievements of the individual. You are the individual. ~Charles Towne\\n #optimism #inspire",0.34
"*ZETH voice*: Hit The Target \\n (holds up upside down cheering towel)",0.462
"Thinking about trying some comedy on youtube. Always been fond of it. Time to nut up. #laughter #comedy #maybeoneday #hopefullyfunny #LOL",0.646
"Every time I hear @jtkantor's organ kick in on the new @sayswhopodcast, I break into the goofiest smile.",0.712
"Anyone know how the #Mariners did today? The mood here seems strangely jubilant! As Meatloaf says, 2 out of 3 ain't bad, unless you win one!",0.48
"Well that was exhilarating. I didn't know you could have goosebumps for 2 hrs 5m straight.",0.596
"@Langston_Hunter Yeah bro it eas hella exhilarating",0.604
"@buzzlightbeard2 If you don't love yourself... Honesty is the best policy #smile",0.438
"This night is sparkling don't you let it go,\\nI'm wonder struck,\\nBlushing on the way home.'",0.746
"god, Facebook's design has started to remind me of MySpace in its heyday",0.25
"One time I saw Rachel from glee tell someone their job was on a pole and I said that in 5th grade to a boy and he look confused",0.271
"Blake lively is flawless",0.38
"@Ginger_Naylor *Connie came back in* Hey you seem a bit more lively",0.48
"@CNN &amp; @donlemon must be rejoicing ovet #Charlotte protests. \\n#NorthCarolina",0.28
"I understand now...if it's not pleasing to the ear...then it ain't what you want! I'm so so tired!!",0.167
"Unixware skydrive-cokie hearty exactment blame online: HEpHXhO",0.18
"smiling through the stress :) :) :) :) :) :) :( :( :( :( :( :( :(",0.28
"ari looks hilarious oh my g d this is too much",0.708
"Just now we were rejoicing that we finally won a match the draw just revealed that we are facing city next. This life sef",0.5
"#terribledebatequestions has given me so many laughs this afternoon! Thanks Twitter! #hilarious #cleverpeople",0.827
"I gave up on the U20 Rugby bet on the Roosters!  #nrl",0.312
"#ukedchat A4 Just go outside (or to the gym hall) and play! \\n#education #playful #learning",0.481
"@ArtyBagger With or without cake seeing your wee cheery face is always a joy xx",0.729
"@URClassless I think that yawning actor died of a drug overdose. ",0.042
"i bet dat dog eating name brand cheerios. cant relate. i eat cheery O's",0.312
"\xef\x98\xb1 @cailamarsai you've had me \xef\x98\x82 \xef\x98\x82 the whole time watching @black_ishABC after you've lost your #glasses! It was #hilarious! @mrbabyboogaloo",0.812
"So happy I live in NYC! See you tomorrow .....@SamHeughan @Barbour",0.729
"I take a strange delight from seeing mark Hughes struggle",0.333
"Vacation wise, Egypt offers great places, amazing scenery, bright skies and good weather at a very good and affordable price for students.",0.521
"Riggs dumb ass hell lolol #hilarious #LethalWeapon",0.7
"Lunatic Asylum: The place where optimism most flourishes.",0.458
"@eachus At least he's willing to discuss, better than most. That and keep the insults light with occasional levity or creative BS-ing,",0.32
"@smoothkobra after such a heavy 2 days this has given much needed levity. Thanks bro",0.438
"@palmtreesarah @WorthingTheatre had more fun than the funniest person in funsville..... Much hilarity as usual.... Thank you \xe2\x9d\xa4\xef\xb8\x8f",0.84
"At 12:01, Tumblr became sentient. At 1.:02, Tumblr posted gn animated gif about it. At 12:03, Tumblr shipped itself.",0.235
"The bits that were cooked actual tasted ... no, ok, the cooked AND raw bits tasted awful. 5/5 hilarity, 1/5 taste, 0/5 safe to ingest",0.188
"@JimRichMoriarty + I am in your life! *He yells* Surprise, surpriiise! *He chirps cheerfully, with a wicked grin on his lips*",0.62
"Hi Luke hemmings\\n\\n\xf0\x9f\x92\x90\xf0\x9f\x8c\xb8\xf0\x9f\x92\x90\\n\\nIf I had a flower for every time you made me smile, I'd have a garden. Please follow me? \\n\\n\xf0\x9f\x92\x90\xf0\x9f\x8c\xb8\xf0\x9f\x92\x90\\nI love you. x16,092",0.8
"@_wednesdaychild I need to cheer up",0.167
"@Singaholic121 Good morning, love! Happy first day of fall. Let's make some awesome #autumnmemories #annabailey  ",0.86
"@priny_baby happppy happppyyyyyy happppppyyyyy haaapppyyyy birthday best friend!! Love you lots \xf0\x9f\x92\x96\xf0\x9f\x92\x96\xf0\x9f\x92\x96\xf0\x9f\x92\x96\xf0\x9f\x92\x96\xf0\x9f\x92\x96\xf0\x9f\x92\x96\xf0\x9f\x8e\x89\xf0\x9f\x8e\x8a #chapter22 #bdaygirl  #love",0.958
"@hesham786 that's the spirit ",0.354
"Panda eyed jaunty after watching jaws until late!",0.48
"@melsey6 oh good girl hope she is cheerful",0.417
"Sometimes I watch shitty tv to reinforce never giving up cuz if something is that fucking awful on tv, I still stand a chance. #optimism",0.104
"what happened to breezy",0.36
"@BlueJayHunter I'm fine on the near future, I just want to go to bed super elated and put together audio compilations of great moments.",0.66
"@AiringOutMyScro \\n\\n'We'll see, once you're a few drinks in.' \\n\\nA playful wink is passed to him and, as they pull up into the small lot of -",0.438
"Watch this amazing live.ly broadcast by @mrgummyking #lively #musically",0.56
"@airtelindia have some issues with my broadband bill ,I am charged for the month before I signed up with airtel.. #hilarious",0.34
"How wonderful to see a show with a token man for once! #GlasgowGirls was uproarious, gleeful, important &amp; uplifting. Go see @stratfordeast!",0.66
"Follow me in instagram 1.0.7 #love #TagsForLikes #TFLers #tweegram #photooftheday #20likes #amazing #smile #follow4follow #like4like #look \xe2\x80\xa6",0.354
"@followAdamA looking back on recent tweets seen, this one right here is great #perfect  #Speechless #deal",0.667
"It take so little to make a child's life joyful, why do we work so hard to make their lives hell? @MiddleEastEye Peace",0.2
"It's all about #redwine and ",0.236
"@samvirwin fancy! I have some of those and I have never put them up, I should do that. Also, I vote jaunty angles then no one will judge",0.52
"Martin Roth leaving V&amp;A shoes the effects of #Brexit: bright and talented foreigners made to feel unwelcome and leaving U.K. #c4news",0.2
"How did Ryan Murphy create both #AHS and #glee \\nSo different",0.302
"@sportinglifecan I keep a down vest or sweater in my pack year round! Helps on chilly mornings or breezy mountain tops! #mysportinglife",0.52
"@RobRiggle @joelmchale @NFLonFOX I still can't get jimmy garoppolo out of my head and it's been almost 3 weeks. Thanks a lot! ",0.5
"Watch this amazing live.ly broadcast by @brooks_swaggysquad  #musically",0.396
"Today's realisation that it was the last time I watch swimming lesson cos I go back to work next week lead to a joyous bedtime. #worstoneyet",0.34
"@LeeJarvis10 can't be following u pal he's smiling",0.312
"A hearty Jonza! to all my friends and follower.",0.704
"By the way, I'm wearing the smile you gave me today. \\n#you #me #smile",0.75
"@Gennneral thanks gen!! Love you miss you happy birthday natong duha \xf0\x9f\x92\x98\xf0\x9f\x92\x98",0.792
"@LindseySanford @simplymeasured this makes me giggle with glee!",0.708
"Probably the best OT period I've ever seen. Absolutely exhilarating. #WCH2016 #TeamNA",0.76
"@colmjoconnor well it was after my heyday too I'm afraid, I was expecting 1st baby I reckon. Now aged 15 *gulps* I'm so old :-)",0.327
"remember when glee did a take me or leave me cover but it was between two girls who werent even friends why did that do that",0.167
"@JMRescue not brilliant lol! Hoping seeing my horse tomorrow will cheer me up \xf0\x9f\x98\x84 #equestrianhour",0.385
"Relive Vegas' heyday with Rat Pack tribute",0.48
"Learning is key while converting your leaning to someone else is door, so when you do both you will open the door of success.\\n\\n#x33 #smile",0.604
"@weebtard sparkling water wyd",0.229
"@Za_buhmaid Happy birthday sweety .. sweet 21 hun hope u have a wonderful day and a wondrful joyful year better than the last one, Luv U \xe2\x99\xa5",0.729
"I just want to let everyone out there know you are wonderful people! #beyourself   #late-night #compliment #behappy",0.792
"jk. started this week strong and it's still going strong. ",0.6
"@nadyaginsburg Thank-you for unfailingly bringing so much joy into my life, you incredibly talented maker of mirth.",0.722
"@XenoStateOfMind yes\\n\\nmake her smile and be happy\\nshe deserves happiness",0.75
"Well stock finished &amp; listed, living room moved around, new editing done &amp; fitted in a visit to the in-laws. #productivityatitsfinest ",0.54
"When u /only/ talk 2 me or ask me 'how r things' just 2 get 2 say something u want, 4give me if I'm not elated 2 start a conversation with u",0.12
"Sanatana Lopez is definitely me \xf0\x9f\x98\x82 ",0.54
"Town is lively. Something happen?",0.354
"Retweeted GunnySmith93 (@Stephen21Smith):\\n\\nDays like today I am happy to be alive! #blessed ",0.833
"@MacEngelProf as a fact for levity, movie theaters on Post actually did play the N.A when I served; was the best part of movies like TheHulk",0.302
"@steenfox I'm feeling the exact same way. Also I read this in Akon's voice, it provided me with a hearty chuckle",0.56
"The human race has one really effective weapon, and that is laughter. -- Mark Twain",0.44
"Watch this amazing live.ly broadcast by @rosannahill #lively #musically",0.56
"I'm so so so excited for #UsernameRegenerated  I can't wait! I wish I could get a signed copy! I'm so happy for you. @Joe_Sugg",0.9
"Haven't yet read why Dutch drivers are so happy, but here's my theory: because they could quit driving and still have great transpo options.",0.474
"Wishing a very Happy Birthday to our awesome dancer, Ruthann!!! We hope your day is magical! #bday  #eatcake",0.833
"I'm always smiling so that's why I'm always happy \xf0\x9f\x98\x82",0.731
"@suavecitamay sparkling water is nice you know I tried it the other day",0.34
"God hears your voice optimism at the moment that you think that everything has failed you \xe2\x9c\xa8.",0.312
"@barbarasgarden Thank you oh so much. There are many challenges but much rejoicing! \xe2\x9c\xa8",0.842
"Avoiding hearty basset hound no time present-time american the brave: YDXef",0.32
"@Nick_Offerman I'll be there!! Can't wait for all the !",0.771
"I took a yr off school and I'm proud to say I got accepted again, yo girl is going to finish! #happy",0.82
"@Lil_PowWow @jweiler0528 More fat = more buoyant. Day 1 water stuff",0.34
"@BertGatti not had much to cheer about you see \xf0\x9f\x98\x9c\xf0\x9f\x98\x82\xf0\x9f\x98\x82",0.52
"Tom Phillips being all jovial at the start of this week's show when Joe is strutting out after that video package is quite the juxtaposition",0.38
"That was nearly aesthetically pleasing enough lol I need to do this on PS and not my phone",0.46
"@JoyAnnReid I totally understood his point, but we need a better messenger and the laughter just pissed me off! \xf0\x9f\x98\xa1",0.08
